cell_id,Heliodoxa schreibersii,Heliodoxa schreibersii schreibersii,Heliodoxa schreibersii whitelyana
83665afffffffff,14.0,0.0,0.0
83665bfffffffff,15.0,0.0,0.0
8366c2fffffffff,5.0,0.0,0.0
8366cdfffffffff,2.0,0.0,0.0
8366d1fffffffff,133.0,0.0,0.0
8366d8fffffffff,16.0,0.0,0.0
8366dafffffffff,51.0,27.0,0.0
8366dcfffffffff,14.0,2.0,0.0
8366ddfffffffff,15.0,0.0,0.0
8366defffffffff,1879.0,196.0,0.0
838a45fffffffff,3.0,0.0,0.0
838a48fffffffff,3.0,0.0,0.0
838a69fffffffff,4.0,0.0,0.0
838b61fffffffff,6.0,0.0,0.0
838b75fffffffff,4.0,0.0,0.0
838e64fffffffff,4.0,0.0,0.0
838e65fffffffff,3.0,0.0,0.0
838f40fffffffff,23.0,0.0,0.0
838f43fffffffff,3.0,0.0,0.0
838f46fffffffff,72.0,0.0,0.0
838f65fffffffff,2.0,0.0,0.0
838f70fffffffff,3.0,0.0,0.0
838f72fffffffff,183.0,7.0,0.0
838f74fffffffff,10.0,0.0,0.0
838f76fffffffff,13.0,0.0,0.0
