cell_id,Thraupis palmarum,Thraupis palmarum [palmarum Group],Thraupis palmarum violilavata
825e67fffffffff,5.0,0.0,0.0
825f07fffffffff,158.0,0.0,0.0
825f0ffffffffff,726.0,0.0,0.0
825f17fffffffff,379.0,0.0,0.0
825f1ffffffffff,354.0,0.0,0.0
825f27fffffffff,18.0,0.0,0.0
825f2ffffffffff,1855.0,0.0,0.0
825f47fffffffff,203.0,0.0,0.0
825f4ffffffffff,262.0,0.0,0.0
825f57fffffffff,46.0,0.0,0.0
825f5ffffffffff,5678.0,0.0,0.0
825f67fffffffff,4.0,0.0,0.0
825f6ffffffffff,75.0,0.0,0.0
825f77fffffffff,268.0,0.0,0.0
826607fffffffff,618.0,0.0,0.0
82660ffffffffff,5324.0,0.0,0.0
826617fffffffff,4921.0,0.0,0.0
82661ffffffffff,18866.0,0.0,0.0
826627fffffffff,2482.0,0.0,0.0
82662ffffffffff,498.0,0.0,0.0
826637fffffffff,193.0,0.0,0.0
826647fffffffff,886.0,0.0,0.0
82664ffffffffff,31.0,0.0,0.0
826657fffffffff,1706.0,0.0,0.0
82665ffffffffff,1495.0,0.0,0.0
826667fffffffff,99.0,0.0,0.0
82666ffffffffff,28.0,0.0,0.0
826677fffffffff,468.0,0.0,0.0
826687fffffffff,7.0,0.0,0.0
8266a7fffffffff,18245.0,0.0,0.0
8266affffffffff,2.0,0.0,0.0
8266b7fffffffff,19827.0,0.0,0.0
8266c7fffffffff,7145.0,0.0,0.0
8266cffffffffff,195.0,0.0,0.0
8266d7fffffffff,11674.0,0.0,0.0
8266dffffffffff,6423.0,0.0,0.0
8266e7fffffffff,25991.0,0.0,0.0
8266effffffffff,1890.0,0.0,0.0
8266f7fffffffff,12955.0,0.0,0.0
826747fffffffff,881.0,0.0,0.0
82674ffffffffff,2072.0,0.0,0.0
826757fffffffff,952.0,0.0,0.0
82675ffffffffff,807.0,0.0,0.0
82676ffffffffff,1.0,0.0,0.0
826797fffffffff,22.0,0.0,0.0
82679ffffffffff,3443.0,0.0,0.0
826d67fffffffff,8.0,0.0,0.0
826d6ffffffffff,31383.0,0.0,0.0
828007fffffffff,46.0,0.0,0.0
82800ffffffffff,37.0,0.0,0.0
828017fffffffff,585.0,0.0,0.0
82801ffffffffff,1.0,0.0,0.0
828027fffffffff,5.0,0.0,0.0
82802ffffffffff,12.0,0.0,0.0
828037fffffffff,140.0,0.0,0.0
828047fffffffff,595.0,0.0,0.0
82804ffffffffff,81.0,0.0,0.0
828057fffffffff,79.0,0.0,0.0
828067fffffffff,92.0,0.0,0.0
82806ffffffffff,49.0,0.0,0.0
828077fffffffff,54.0,0.0,0.0
828107fffffffff,140.0,0.0,0.0
82810ffffffffff,24.0,0.0,0.0
828117fffffffff,105.0,0.0,0.0
82811ffffffffff,8.0,0.0,0.0
828127fffffffff,67.0,0.0,0.0
82812ffffffffff,58.0,0.0,0.0
828137fffffffff,846.0,0.0,0.0
828147fffffffff,202.0,0.0,0.0
82814ffffffffff,525.0,0.0,0.0
828157fffffffff,12.0,0.0,0.0
82815ffffffffff,120.0,0.0,0.0
828167fffffffff,106.0,0.0,0.0
828177fffffffff,340.0,0.0,0.0
828187fffffffff,1451.0,0.0,0.0
82818ffffffffff,87.0,0.0,0.0
82819ffffffffff,139.0,0.0,0.0
8281a7fffffffff,67.0,0.0,0.0
8281affffffffff,20.0,0.0,0.0
828a07fffffffff,210.0,0.0,0.0
828a17fffffffff,42.0,0.0,0.0
828a1ffffffffff,27.0,0.0,0.0
828a27fffffffff,47.0,0.0,0.0
828a37fffffffff,14.0,0.0,0.0
828a47fffffffff,1042.0,0.0,0.0
828a4ffffffffff,10.0,0.0,0.0
828a57fffffffff,17.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0
828a6ffffffffff,1250.0,0.0,0.0
828a77fffffffff,30.0,0.0,0.0
828a87fffffffff,109.0,0.0,0.0
828a8ffffffffff,30.0,0.0,0.0
828a97fffffffff,37.0,0.0,0.0
828a9ffffffffff,59.0,0.0,0.0
828aa7fffffffff,2.0,0.0,0.0
828aaffffffffff,149.0,0.0,0.0
828ab7fffffffff,5.0,0.0,0.0
828adffffffffff,340.0,0.0,0.0
828ae7fffffffff,7.0,0.0,0.0
828aeffffffffff,4.0,0.0,0.0
828af7fffffffff,1686.0,0.0,0.0
828b07fffffffff,29.0,0.0,0.0
828b0ffffffffff,161.0,0.0,0.0
828b17fffffffff,22.0,0.0,0.0
828b1ffffffffff,8.0,0.0,0.0
828b27fffffffff,307.0,0.0,0.0
828b2ffffffffff,212.0,0.0,0.0
828b37fffffffff,16.0,0.0,0.0
828b47fffffffff,1665.0,0.0,0.0
828b4ffffffffff,21.0,0.0,0.0
828b57fffffffff,176.0,0.0,0.0
828b5ffffffffff,104.0,0.0,0.0
828b67fffffffff,1705.0,0.0,0.0
828b6ffffffffff,617.0,0.0,0.0
828b77fffffffff,328.0,0.0,0.0
828b87fffffffff,239.0,0.0,0.0
828b8ffffffffff,65.0,0.0,0.0
828b97fffffffff,2.0,0.0,0.0
828b9ffffffffff,1223.0,0.0,0.0
828ba7fffffffff,208.0,0.0,0.0
828bb7fffffffff,740.0,0.0,0.0
828e67fffffffff,386.0,0.0,0.0
828e6ffffffffff,10.0,0.0,0.0
828f0ffffffffff,751.0,0.0,0.0
828f27fffffffff,12.0,0.0,0.0
828f2ffffffffff,1121.0,0.0,0.0
828f47fffffffff,2202.0,0.0,0.0
828f4ffffffffff,371.0,0.0,0.0
828f57fffffffff,58.0,0.0,0.0
828f5ffffffffff,197.0,0.0,0.0
828f67fffffffff,209.0,0.0,0.0
828f6ffffffffff,74.0,0.0,0.0
828f77fffffffff,2141.0,0.0,0.0
82a597fffffffff,422.0,0.0,0.0
82a807fffffffff,250.0,0.0,0.0
82a80ffffffffff,40.0,0.0,0.0
82a817fffffffff,10065.0,0.0,0.0
82a81ffffffffff,1111.0,0.0,0.0
82a827fffffffff,27.0,0.0,0.0
82a82ffffffffff,16.0,0.0,0.0
82a837fffffffff,653.0,0.0,0.0
82a847fffffffff,436.0,0.0,0.0
82a84ffffffffff,4.0,0.0,0.0
82a857fffffffff,105.0,0.0,0.0
82a85ffffffffff,1616.0,0.0,0.0
82a867fffffffff,32.0,0.0,0.0
82a86ffffffffff,1.0,0.0,0.0
82a877fffffffff,77.0,0.0,0.0
82a887fffffffff,851.0,0.0,0.0
82a88ffffffffff,209.0,0.0,0.0
82a897fffffffff,454.0,0.0,0.0
82a89ffffffffff,12.0,0.0,0.0
82a8a7fffffffff,4705.0,0.0,0.0
82a8affffffffff,538.0,0.0,0.0
82a8b7fffffffff,39.0,0.0,0.0
82a8c7fffffffff,104.0,0.0,0.0
82a8cffffffffff,25.0,0.0,0.0
82a8d7fffffffff,286.0,0.0,0.0
82a8dffffffffff,167.0,0.0,0.0
82a8e7fffffffff,18.0,0.0,0.0
82a8effffffffff,54.0,0.0,0.0
82a8f7fffffffff,66.0,0.0,0.0
82a90ffffffffff,5.0,0.0,0.0
82a91ffffffffff,248.0,0.0,0.0
82a927fffffffff,4.0,0.0,0.0
82a92ffffffffff,5.0,0.0,0.0
82a947fffffffff,1.0,0.0,0.0
82a957fffffffff,17.0,0.0,0.0
82a95ffffffffff,1.0,0.0,0.0
82b327fffffffff,234.0,0.0,0.0
82b367fffffffff,8.0,0.0,0.0
