cell_id,Ramphocelus flammigerus,Ramphocelus flammigerus flammigerus,Ramphocelus flammigerus icteronotus,Ramphocelus flammigerus flammigerus x icteronotus
846610bffffffff,2.0,0.0,0.0,0.0
8466111ffffffff,2.0,0.0,2.0,0.0
8466183ffffffff,2.0,0.0,0.0,0.0
846619dffffffff,3.0,0.0,0.0,0.0
84661adffffffff,2.0,0.0,2.0,0.0
84661b3ffffffff,1.0,1.0,0.0,0.0
84661b9ffffffff,6.0,6.0,0.0,0.0
84661bdffffffff,10.0,9.0,1.0,0.0
8466a01ffffffff,3.0,0.0,0.0,0.0
8466a05ffffffff,9.0,0.0,0.0,0.0
8466a0bffffffff,5.0,0.0,1.0,0.0
8466a1dffffffff,5.0,0.0,0.0,0.0
8466a57ffffffff,4.0,0.0,0.0,0.0
8466a5bffffffff,5.0,0.0,0.0,0.0
8466b55ffffffff,2.0,0.0,0.0,0.0
8466c65ffffffff,4.0,4.0,0.0,0.0
8466d0bffffffff,6.0,0.0,6.0,0.0
8466d23ffffffff,4.0,0.0,4.0,0.0
8466d31ffffffff,38.0,0.0,32.0,0.0
8466d35ffffffff,30.0,0.0,30.0,0.0
8466d53ffffffff,2.0,0.0,0.0,0.0
8466d57ffffffff,4.0,0.0,0.0,0.0
8466e65ffffffff,4.0,1.0,0.0,0.0
8466f03ffffffff,4.0,1.0,2.0,0.0
8466f0bffffffff,7.0,0.0,4.0,3.0
8466f19ffffffff,1.0,0.0,0.0,0.0
8466f1dffffffff,10.0,3.0,4.0,0.0
848f0d1ffffffff,4.0,0.0,4.0,0.0
848f0d3ffffffff,4.0,0.0,4.0,0.0
848f0dbffffffff,19.0,0.0,14.0,0.0
848f2a9ffffffff,8.0,0.0,8.0,0.0
