cell_id,Conirostrum cinereum,Conirostrum cinereum fraseri,Conirostrum cinereum cinereum/littorale
8466c21ffffffff,2.0,0.0,0.0
8466c25ffffffff,22.0,0.0,0.0
8466c61ffffffff,7.0,0.0,0.0
8466c69ffffffff,11.0,0.0,0.0
8466c6dffffffff,5.0,0.0,0.0
8466d03ffffffff,2.0,0.0,0.0
8466d11ffffffff,10.0,0.0,0.0
8466d15ffffffff,41.0,0.0,0.0
8466d17ffffffff,5.0,0.0,0.0
8466d19ffffffff,12.0,0.0,0.0
8466d1dffffffff,13.0,0.0,0.0
8466d31ffffffff,1303.0,89.0,0.0
8466d33ffffffff,2386.0,105.0,0.0
8466d37ffffffff,27.0,0.0,0.0
8466d39ffffffff,26.0,0.0,0.0
8466d3bffffffff,172.0,0.0,0.0
8466d53ffffffff,77.0,0.0,0.0
8466d57ffffffff,10.0,0.0,0.0
8466dadffffffff,1.0,0.0,0.0
8466de5ffffffff,466.0,36.0,0.0
8466dedffffffff,546.0,60.0,0.0
848b2c9ffffffff,73.0,0.0,0.0
848b2cdffffffff,3.0,0.0,0.0
848b2ddffffffff,1.0,0.0,0.0
848b603ffffffff,5.0,0.0,0.0
848b605ffffffff,3.0,0.0,0.0
848b60bffffffff,2.0,0.0,0.0
848b611ffffffff,1050.0,0.0,119.0
848b613ffffffff,10.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,78.0,0.0,1.0
848b619ffffffff,176.0,0.0,13.0
848b61bffffffff,588.0,0.0,11.0
848b61dffffffff,496.0,0.0,25.0
848b641ffffffff,2.0,0.0,0.0
848b653ffffffff,2.0,0.0,0.0
848b657ffffffff,8.0,0.0,0.0
848b665ffffffff,17.0,0.0,0.0
848b6c9ffffffff,23.0,0.0,0.0
848b6cdffffffff,461.0,0.0,26.0
848e451ffffffff,16.0,0.0,0.0
848e459ffffffff,16.0,0.0,0.0
848e45bffffffff,16.0,0.0,0.0
848e45dffffffff,39.0,0.0,0.0
848e603ffffffff,1.0,0.0,0.0
848e605ffffffff,14.0,0.0,2.0
848e607ffffffff,5.0,0.0,1.0
848e609ffffffff,24.0,0.0,0.0
848e60bffffffff,14.0,0.0,0.0
848e60dffffffff,5.0,0.0,0.0
848e617ffffffff,4.0,0.0,0.0
848e619ffffffff,3.0,0.0,0.0
848e61dffffffff,31.0,0.0,0.0
848e621ffffffff,163.0,0.0,7.0
848e623ffffffff,110.0,0.0,6.0
848e629ffffffff,285.0,0.0,8.0
848e62dffffffff,770.0,0.0,2.0
848e633ffffffff,12.0,0.0,0.0
848e635ffffffff,25.0,0.0,0.0
848e637ffffffff,5.0,0.0,0.0
848e643ffffffff,2.0,0.0,0.0
848e645ffffffff,20.0,0.0,0.0
848e647ffffffff,4.0,0.0,0.0
848e649ffffffff,5.0,0.0,0.0
848e651ffffffff,11.0,0.0,0.0
848e655ffffffff,16.0,0.0,0.0
848e657ffffffff,41.0,0.0,0.0
848e661ffffffff,5.0,0.0,0.0
848e663ffffffff,401.0,0.0,27.0
848e665ffffffff,144.0,0.0,2.0
848e667ffffffff,2.0,0.0,0.0
848e66bffffffff,3.0,0.0,0.0
848e66dffffffff,2.0,0.0,0.0
848e681ffffffff,1.0,0.0,0.0
848e683ffffffff,3.0,0.0,0.0
848e687ffffffff,3.0,0.0,0.0
848e68bffffffff,14.0,0.0,0.0
848e691ffffffff,14.0,0.0,0.0
848e693ffffffff,2.0,0.0,0.0
848e699ffffffff,4.0,0.0,0.0
848e69bffffffff,10.0,0.0,0.0
848e6a1ffffffff,30.0,0.0,0.0
848e6a5ffffffff,3.0,0.0,0.0
