cell_id,Aplonis tabuensis,Aplonis tabuensis [tabuensis Group],Aplonis tabuensis manuae
829a07fffffffff,50.0,0.0,0.0
829a0ffffffffff,7.0,0.0,0.0
829a17fffffffff,86.0,0.0,0.0
829a27fffffffff,1.0,0.0,0.0
829a77fffffffff,3.0,0.0,0.0
829b07fffffffff,1.0,0.0,0.0
829b0ffffffffff,13.0,0.0,0.0
829b1ffffffffff,10.0,0.0,0.0
829b47fffffffff,12.0,0.0,0.0
829b4ffffffffff,14.0,0.0,0.0
829b5ffffffffff,40.0,0.0,0.0
829b6ffffffffff,50.0,0.0,0.0
829b77fffffffff,3.0,0.0,0.0
829b8ffffffffff,10.0,0.0,0.0
829baffffffffff,7.0,0.0,0.0
