cell_id,Uropsila leucogastra,Uropsila leucogastra [leucogastra Group],Uropsila leucogastra pacifica
844424dffffffff,2.0,0.0,0.0
8445011ffffffff,8.0,0.0,0.0
8445013ffffffff,2.0,0.0,0.0
8445019ffffffff,227.0,0.0,0.0
844501bffffffff,33.0,6.0,0.0
8445053ffffffff,17.0,0.0,0.0
8445059ffffffff,2.0,0.0,0.0
844505bffffffff,51.0,0.0,0.0
8445081ffffffff,7.0,0.0,0.0
8445083ffffffff,87.0,16.0,0.0
8445085ffffffff,66.0,8.0,0.0
8445087ffffffff,287.0,30.0,0.0
8445089ffffffff,3.0,0.0,0.0
844508bffffffff,5.0,2.0,0.0
844508dffffffff,43.0,0.0,0.0
8445091ffffffff,66.0,18.0,0.0
8445093ffffffff,7.0,0.0,0.0
8445095ffffffff,3.0,0.0,0.0
8445097ffffffff,8.0,3.0,0.0
8445099ffffffff,197.0,0.0,0.0
844509bffffffff,478.0,170.0,0.0
844509dffffffff,2.0,0.0,0.0
84450a1ffffffff,284.0,1.0,0.0
84450a3ffffffff,124.0,21.0,0.0
84450a5ffffffff,54.0,1.0,0.0
84450a7ffffffff,2.0,0.0,0.0
84450a9ffffffff,96.0,1.0,0.0
84450abffffffff,36.0,9.0,0.0
84450adffffffff,6.0,0.0,0.0
84450b1ffffffff,68.0,4.0,0.0
84450b5ffffffff,51.0,3.0,0.0
84450b9ffffffff,13.0,0.0,0.0
84450bdffffffff,25.0,0.0,0.0
84450c1ffffffff,19.0,1.0,0.0
84450c5ffffffff,45.0,5.0,0.0
84450c7ffffffff,15.0,0.0,0.0
84450cdffffffff,37.0,17.0,0.0
84450d1ffffffff,18.0,12.0,0.0
84450d3ffffffff,277.0,99.0,0.0
84450d5ffffffff,24.0,1.0,0.0
84450d7ffffffff,6.0,0.0,0.0
84450d9ffffffff,5.0,0.0,0.0
84450ddffffffff,18.0,11.0,0.0
84450e1ffffffff,8.0,0.0,0.0
84450e3ffffffff,183.0,1.0,0.0
84450ebffffffff,187.0,33.0,0.0
8445213ffffffff,11.0,0.0,0.0
8445217ffffffff,21.0,0.0,0.0
844522dffffffff,7.0,4.0,0.0
8445281ffffffff,54.0,0.0,0.0
8445283ffffffff,31.0,3.0,0.0
8445285ffffffff,30.0,5.0,0.0
