cell_id,Treron curvirostra,Treron curvirostra [curvirostra Group],Treron curvirostra hypothapsinus/smicrus
823c17fffffffff,5.0,0.0,0.0
823c1ffffffffff,112.0,0.0,0.0
823c57fffffffff,3.0,0.0,0.0
823c5ffffffffff,168.0,0.0,0.0
823c8ffffffffff,23.0,0.0,0.0
823cc7fffffffff,105.0,0.0,0.0
823cdffffffffff,1.0,0.0,0.0
823ce7fffffffff,174.0,0.0,0.0
823ceffffffffff,122.0,0.0,0.0
823cf7fffffffff,2.0,0.0,0.0
82404ffffffffff,31.0,0.0,0.0
824067fffffffff,8.0,1.0,0.0
824147fffffffff,19.0,0.0,0.0
82414ffffffffff,1.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0
82416ffffffffff,24.0,0.0,0.0
824177fffffffff,9.0,0.0,0.0
826417fffffffff,908.0,174.0,0.0
826427fffffffff,19.0,6.0,0.0
826437fffffffff,319.0,78.0,0.0
826487fffffffff,34.0,6.0,0.0
82648ffffffffff,10.0,0.0,0.0
826497fffffffff,40.0,6.0,0.0
82649ffffffffff,8.0,0.0,0.0
8264a7fffffffff,186.0,44.0,0.0
8264b7fffffffff,92.0,26.0,0.0
826507fffffffff,321.0,0.0,0.0
82650ffffffffff,3.0,0.0,0.0
82651ffffffffff,376.0,81.0,0.0
826527fffffffff,297.0,0.0,0.0
82652ffffffffff,2.0,0.0,0.0
826557fffffffff,1.0,0.0,0.0
826577fffffffff,8.0,0.0,0.0
826587fffffffff,140.0,0.0,0.0
82658ffffffffff,109.0,29.0,0.0
826597fffffffff,167.0,0.0,0.0
82659ffffffffff,636.0,109.0,0.0
8265b7fffffffff,634.0,0.0,0.0
826817fffffffff,95.0,16.0,0.0
82681ffffffffff,228.0,12.0,0.0
82682ffffffffff,116.0,10.0,0.0
826897fffffffff,9.0,0.0,0.0
8268a7fffffffff,1.0,0.0,0.0
826937fffffffff,6.0,0.0,0.0
82695ffffffffff,1.0,0.0,0.0
828c17fffffffff,2.0,0.0,0.0
828c97fffffffff,47.0,0.0,0.0
828caffffffffff,9.0,1.0,0.0
828cc7fffffffff,15.0,0.0,13.0
828cdffffffffff,11.0,0.0,10.0
828ce7fffffffff,3.0,0.0,3.0
