cell_id,Trogon melanurus,Trogon melanurus macroura,Trogon melanurus melanurus/eumorphus
836610fffffffff,2.0,0.0,0.0
836611fffffffff,3.0,0.0,0.0
836616fffffffff,1.0,0.0,0.0
83661cfffffffff,81.0,0.0,0.0
83661dfffffffff,3.0,0.0,0.0
83661efffffffff,7.0,0.0,0.0
8366a5fffffffff,3.0,0.0,0.0
8366c2fffffffff,26.0,0.0,0.0
8366c5fffffffff,35.0,0.0,0.0
8366d0fffffffff,1.0,0.0,0.0
8366d1fffffffff,4.0,0.0,0.0
8366e1fffffffff,1.0,0.0,0.0
8366ecfffffffff,23.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0
838b22fffffffff,1.0,0.0,1.0
838b23fffffffff,3.0,0.0,3.0
838b2cfffffffff,2.0,0.0,2.0
838b63fffffffff,10.0,0.0,10.0
838b74fffffffff,1.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
