cell_id,Alophoixus pallidus,Alophoixus pallidus griseiceps,Alophoixus pallidus [pallidus Group]
84402d7ffffffff,7.0,0.0,0.0
8440499ffffffff,5.0,0.0,0.0
84404ddffffffff,4.0,0.0,0.0
84404e9ffffffff,2.0,0.0,0.0
8440611ffffffff,2.0,0.0,0.0
8440613ffffffff,3.0,0.0,0.0
8440619ffffffff,62.0,0.0,0.0
844061bffffffff,15.0,0.0,0.0
8440651ffffffff,27.0,0.0,0.0
8440653ffffffff,13.0,0.0,0.0
8440657ffffffff,3.0,0.0,0.0
84406b7ffffffff,3.0,0.0,0.0
844141bffffffff,1.0,0.0,1.0
8441421ffffffff,7.0,0.0,0.0
8441431ffffffff,5.0,0.0,0.0
8441433ffffffff,130.0,0.0,14.0
844143bffffffff,54.0,0.0,14.0
8441487ffffffff,1.0,0.0,0.0
8441497ffffffff,1.0,0.0,0.0
84414b1ffffffff,1.0,0.0,0.0
84414b3ffffffff,4.0,0.0,0.0
84414c1ffffffff,1.0,0.0,0.0
84414c3ffffffff,12.0,0.0,0.0
84414cbffffffff,1.0,0.0,0.0
84414d9ffffffff,2.0,0.0,0.0
84414e5ffffffff,1.0,0.0,0.0
8441517ffffffff,3.0,0.0,0.0
8441539ffffffff,3.0,0.0,0.0
8441585ffffffff,4.0,0.0,1.0
844158dffffffff,1.0,0.0,0.0
844159bffffffff,2.0,0.0,0.0
84415a1ffffffff,4.0,0.0,0.0
84415a9ffffffff,2.0,0.0,0.0
84415c3ffffffff,23.0,0.0,4.0
84415ddffffffff,8.0,0.0,0.0
84415e7ffffffff,2.0,0.0,0.0
84415edffffffff,74.0,0.0,0.0
8441611ffffffff,2.0,0.0,2.0
8441617ffffffff,15.0,0.0,2.0
8441653ffffffff,2.0,0.0,0.0
8441655ffffffff,76.0,0.0,5.0
8441685ffffffff,3.0,0.0,0.0
84416a1ffffffff,1.0,0.0,0.0
84416a3ffffffff,6.0,0.0,0.0
84416abffffffff,5.0,0.0,0.0
84416b1ffffffff,2.0,0.0,2.0
84416bdffffffff,7.0,0.0,0.0
84416cdffffffff,2.0,0.0,0.0
84416ddffffffff,11.0,0.0,0.0
84416e1ffffffff,41.0,0.0,5.0
84416e5ffffffff,14.0,0.0,4.0
84416e9ffffffff,1.0,0.0,0.0
84416edffffffff,23.0,0.0,8.0
8441701ffffffff,2.0,0.0,1.0
8441703ffffffff,2.0,0.0,0.0
844170bffffffff,5.0,0.0,0.0
8441715ffffffff,14.0,0.0,3.0
8441719ffffffff,283.0,0.0,37.0
844171dffffffff,3.0,0.0,0.0
8441751ffffffff,3.0,0.0,0.0
8464805ffffffff,1.0,0.0,1.0
846480dffffffff,4.0,0.0,2.0
8464821ffffffff,79.0,0.0,30.0
8464825ffffffff,288.0,0.0,75.0
8464827ffffffff,20.0,0.0,12.0
8464829ffffffff,3.0,0.0,1.0
846482bffffffff,221.0,0.0,29.0
846482dffffffff,20.0,0.0,8.0
8464839ffffffff,1.0,0.0,0.0
8464845ffffffff,10.0,0.0,5.0
846486dffffffff,2.0,0.0,0.0
8464903ffffffff,2.0,0.0,0.0
8464905ffffffff,1.0,0.0,0.0
8464909ffffffff,8.0,0.0,8.0
846490dffffffff,4.0,0.0,0.0
8464911ffffffff,89.0,0.0,21.0
846491bffffffff,7.0,0.0,0.0
846491dffffffff,7.0,0.0,5.0
8464943ffffffff,9.0,0.0,9.0
8464949ffffffff,3.0,0.0,1.0
846494bffffffff,28.0,0.0,11.0
8464951ffffffff,8.0,0.0,8.0
8464953ffffffff,5.0,0.0,0.0
8464955ffffffff,29.0,0.0,18.0
8464957ffffffff,5.0,0.0,5.0
8464959ffffffff,18.0,0.0,18.0
846495dffffffff,6.0,0.0,3.0
8464983ffffffff,3.0,0.0,0.0
8464a45ffffffff,2.0,0.0,0.0
8464a61ffffffff,2.0,0.0,2.0
8464b01ffffffff,2.0,0.0,0.0
8464b03ffffffff,71.0,0.0,35.0
8464b09ffffffff,2.0,0.0,0.0
8464b0bffffffff,9.0,0.0,0.0
8464b21ffffffff,2.0,0.0,0.0
8464b25ffffffff,8.0,0.0,0.0
8464b29ffffffff,32.0,0.0,16.0
8464b31ffffffff,2.0,0.0,0.0
8464b37ffffffff,4.0,0.0,1.0
8464b39ffffffff,2.0,0.0,0.0
8464b41ffffffff,2.0,0.0,0.0
8464b43ffffffff,5.0,0.0,0.0
8464b51ffffffff,7.0,0.0,5.0
8464b53ffffffff,6.0,0.0,4.0
8464b55ffffffff,127.0,0.0,32.0
8464b57ffffffff,12.0,0.0,2.0
8464b5dffffffff,55.0,0.0,22.0
8465825ffffffff,2.0,0.0,0.0
8465827ffffffff,1.0,0.0,0.0
8465867ffffffff,3.0,0.0,0.0
8465911ffffffff,18.0,0.0,0.0
8465915ffffffff,24.0,0.0,0.0
8465919ffffffff,3.0,0.0,0.0
846591bffffffff,5.0,0.0,0.0
846591dffffffff,34.0,0.0,0.0
846592bffffffff,1.0,0.0,0.0
8465947ffffffff,4.0,0.0,0.0
8465959ffffffff,4.0,0.0,0.0
846595bffffffff,2.0,0.0,0.0
8465965ffffffff,3.0,0.0,0.0
846598bffffffff,5.0,0.0,5.0
8465991ffffffff,13.0,0.0,3.0
8465993ffffffff,1369.0,0.0,429.0
846599bffffffff,9.0,0.0,1.0
84659c1ffffffff,81.0,0.0,0.0
84659c9ffffffff,24.0,0.0,0.0
84659d7ffffffff,2.0,0.0,0.0
84659e9ffffffff,13.0,0.0,0.0
8465b0dffffffff,2.0,0.0,2.0
8465b23ffffffff,8.0,0.0,0.0
8465b2bffffffff,27.0,0.0,0.0
8465b39ffffffff,15.0,0.0,0.0
8465b3dffffffff,91.0,0.0,0.0
8465b61ffffffff,15.0,0.0,0.0
8465b6bffffffff,28.0,0.0,0.0
8469341ffffffff,3.0,0.0,2.0
8469345ffffffff,33.0,0.0,5.0
8469347ffffffff,2.0,0.0,2.0
