cell_id,Arremonops rufivirgatus,Arremonops rufivirgatus [rufivirgatus Group],Arremonops rufivirgatus [superciliosus Group]
824507fffffffff,177.0,0.0,0.0
82450ffffffffff,4356.0,682.0,0.0
82451ffffffffff,2.0,1.0,0.0
824527fffffffff,9.0,0.0,0.0
82452ffffffffff,1484.0,60.0,0.0
824577fffffffff,66.0,5.0,0.0
824807fffffffff,5.0,0.0,0.0
824817fffffffff,4.0,0.0,0.0
824837fffffffff,42.0,0.0,0.0
824887fffffffff,5586.0,8.0,0.0
82488ffffffffff,822.0,0.0,0.0
824897fffffffff,2206.0,0.0,0.0
82489ffffffffff,1670.0,0.0,0.0
8248a7fffffffff,1906.0,218.0,0.0
8248b7fffffffff,30359.0,34.0,0.0
824997fffffffff,464.0,100.0,0.0
82499ffffffffff,683.0,27.0,0.0
8249a7fffffffff,72.0,0.0,14.0
8249affffffffff,180.0,0.0,15.0
8249b7fffffffff,34.0,0.0,8.0
8266b7fffffffff,42.0,0.0,0.0
826d07fffffffff,12.0,0.0,1.0
826d17fffffffff,648.0,0.0,91.0
826d27fffffffff,796.0,2.0,136.0
826d2ffffffffff,28.0,0.0,2.0
826d37fffffffff,369.0,68.0,7.0
826d67fffffffff,350.0,0.0,0.0
826d6ffffffffff,5240.0,0.0,0.0
