cell_id,Arizelocichla striifacies,Arizelocichla striifacies striifacies,Arizelocichla striifacies olivaceiceps
837a61fffffffff,8.0,7.0,0.0
837a64fffffffff,6.0,2.0,0.0
837a65fffffffff,50.0,43.0,0.0
8396b0fffffffff,6.0,0.0,0.0
