cell_id,Geokichla crossleyi,Geokichla crossleyi crossleyi,Geokichla crossleyi pilettei
8258d7fffffffff,38.0,24.0,0.0
8258dffffffffff,22.0,20.0,0.0
8282d7fffffffff,16.0,2.0,0.0
