cell_id,Icterus pustulatus,Icterus pustulatus [pustulatus Group],Icterus pustulatus [sclateri Group],Icterus pustulatus graysonii
834520fffffffff,23.0,0.0,0.0,0.0
834524fffffffff,1344.0,0.0,0.0,0.0
834525fffffffff,829.0,0.0,216.0,0.0
834526fffffffff,157.0,0.0,0.0,0.0
834530fffffffff,3.0,0.0,0.0,0.0
834534fffffffff,7.0,0.0,0.0,0.0
834535fffffffff,11.0,0.0,0.0,0.0
834801fffffffff,20.0,1.0,0.0,0.0
834802fffffffff,308.0,2.0,0.0,0.0
834803fffffffff,25.0,3.0,0.0,0.0
834806fffffffff,242.0,22.0,0.0,0.0
834809fffffffff,75.0,0.0,0.0,0.0
83480afffffffff,1371.0,0.0,0.0,0.0
83480bfffffffff,19.0,0.0,0.0,0.0
83480efffffffff,154.0,9.0,0.0,0.0
834814fffffffff,35.0,0.0,0.0,0.0
834815fffffffff,167.0,0.0,0.0,0.0
83481dfffffffff,59.0,0.0,0.0,0.0
834830fffffffff,90.0,3.0,0.0,32.0
834832fffffffff,133.0,24.0,0.0,0.0
834833fffffffff,1766.0,126.0,0.0,0.0
834834fffffffff,2.0,0.0,0.0,0.0
834836fffffffff,8305.0,860.0,2.0,0.0
834856fffffffff,22.0,0.0,0.0,0.0
8348e0fffffffff,2.0,0.0,0.0,0.0
8348e1fffffffff,13.0,0.0,0.0,0.0
8348e4fffffffff,49.0,0.0,0.0,0.0
8348e5fffffffff,97.0,0.0,0.0,0.0
8348ecfffffffff,17.0,0.0,0.0,0.0
834980fffffffff,283.0,57.0,0.0,0.0
834981fffffffff,30.0,0.0,0.0,0.0
834982fffffffff,2.0,0.0,0.0,0.0
834983fffffffff,36.0,0.0,0.0,0.0
834984fffffffff,1.0,0.0,0.0,0.0
834985fffffffff,44.0,0.0,0.0,0.0
834986fffffffff,235.0,87.0,0.0,0.0
834988fffffffff,48.0,0.0,0.0,0.0
834989fffffffff,2.0,0.0,0.0,0.0
83498cfffffffff,189.0,2.0,0.0,0.0
83498dfffffffff,3.0,2.0,0.0,0.0
83498efffffffff,19.0,0.0,0.0,0.0
834994fffffffff,117.0,0.0,0.0,0.0
834995fffffffff,4.0,0.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0,0.0
8349a2fffffffff,160.0,10.0,0.0,0.0
8349a3fffffffff,43.0,3.0,0.0,0.0
8349a8fffffffff,1910.0,70.0,2.0,0.0
8349a9fffffffff,3094.0,331.0,1.0,0.0
8349aafffffffff,1013.0,21.0,0.0,0.0
8349abfffffffff,737.0,45.0,0.0,0.0
8349acfffffffff,6.0,0.0,0.0,0.0
8349adfffffffff,59.0,0.0,0.0,0.0
8349aefffffffff,34.0,1.0,0.0,0.0
8349b0fffffffff,67.0,4.0,0.0,0.0
8349b1fffffffff,24.0,0.0,0.0,0.0
8349b2fffffffff,72.0,0.0,0.0,0.0
8349b3fffffffff,2113.0,11.0,0.0,0.0
8349b4fffffffff,6.0,0.0,0.0,0.0
8349b5fffffffff,100.0,8.0,0.0,0.0
8349b6fffffffff,12.0,0.0,0.0,0.0
8366b6fffffffff,4.0,0.0,0.0,0.0
836792fffffffff,5.0,0.0,0.0,0.0
836d04fffffffff,687.0,0.0,77.0,0.0
836d05fffffffff,200.0,0.0,9.0,0.0
836d06fffffffff,116.0,0.0,0.0,0.0
836d14fffffffff,118.0,0.0,0.0,0.0
836d15fffffffff,1048.0,0.0,0.0,0.0
836d22fffffffff,1.0,0.0,0.0,0.0
836d23fffffffff,1032.0,0.0,72.0,0.0
836d28fffffffff,5.0,0.0,0.0,0.0
836d29fffffffff,305.0,0.0,62.0,0.0
836d2afffffffff,25.0,0.0,7.0,0.0
836d2bfffffffff,17.0,0.0,3.0,0.0
836d2dfffffffff,138.0,0.0,64.0,0.0
836d2efffffffff,179.0,0.0,25.0,0.0
836d30fffffffff,1.0,0.0,0.0,0.0
836d31fffffffff,1176.0,0.0,0.0,0.0
836d32fffffffff,271.0,0.0,0.0,0.0
836d33fffffffff,360.0,0.0,0.0,0.0
836d36fffffffff,133.0,0.0,0.0,0.0
836d60fffffffff,742.0,0.0,0.0,0.0
836d61fffffffff,1528.0,0.0,0.0,0.0
836d63fffffffff,283.0,0.0,0.0,0.0
836d64fffffffff,2080.0,0.0,0.0,0.0
836d65fffffffff,361.0,0.0,0.0,0.0
836d66fffffffff,1163.0,0.0,0.0,0.0
836d68fffffffff,3206.0,0.0,98.0,0.0
836d69fffffffff,3307.0,0.0,45.0,0.0
836d6afffffffff,189.0,0.0,11.0,0.0
836d6bfffffffff,552.0,0.0,0.0,0.0
836d6cfffffffff,48.0,0.0,0.0,0.0
836d6efffffffff,359.0,0.0,0.0,0.0
836d74fffffffff,1936.0,0.0,6.0,0.0
836d75fffffffff,654.0,0.0,0.0,0.0
836d76fffffffff,39.0,0.0,17.0,0.0
