cell_id,Thryomanes bewickii,Thryomanes bewickii bewickii,Thryomanes bewickii [mexicanus Group],Thryomanes bewickii [spilurus Group]
8412d17ffffffff,46.0,0.0,0.0,0.0
8412d33ffffffff,32.0,0.0,0.0,0.0
8412d35ffffffff,1.0,0.0,0.0,0.0
8412d3bffffffff,1.0,0.0,0.0,0.0
8412d81ffffffff,2.0,0.0,0.0,0.0
8412d85ffffffff,6.0,0.0,0.0,0.0
8412d87ffffffff,9.0,0.0,0.0,0.0
8412da1ffffffff,19.0,0.0,0.0,0.0
8412da3ffffffff,4.0,0.0,0.0,0.0
8412da5ffffffff,10.0,0.0,0.0,0.0
8412da7ffffffff,88.0,0.0,0.0,0.0
8412db1ffffffff,254.0,0.0,0.0,0.0
8412db3ffffffff,18.0,0.0,0.0,0.0
8412db5ffffffff,61.0,0.0,0.0,0.0
8412db7ffffffff,127.0,0.0,0.0,0.0
8412dbdffffffff,18.0,0.0,0.0,0.0
8412de1ffffffff,3.0,0.0,0.0,0.0
8412de3ffffffff,4.0,0.0,0.0,0.0
8412de5ffffffff,604.0,0.0,0.0,0.0
8412de7ffffffff,1.0,0.0,0.0,0.0
8412dedffffffff,34.0,0.0,0.0,0.0
8426423ffffffff,1.0,0.0,0.0,0.0
8426425ffffffff,10.0,0.0,0.0,0.0
8426427ffffffff,2.0,0.0,0.0,0.0
8426429ffffffff,21.0,0.0,0.0,0.0
842642bffffffff,10.0,0.0,0.0,0.0
842642dffffffff,3.0,0.0,0.0,0.0
8426501ffffffff,1.0,0.0,0.0,0.0
8426505ffffffff,1.0,0.0,0.0,0.0
8426507ffffffff,6.0,0.0,0.0,0.0
842650bffffffff,3.0,0.0,0.0,0.0
8426511ffffffff,20.0,0.0,0.0,0.0
8426515ffffffff,11.0,0.0,0.0,0.0
8426519ffffffff,4.0,0.0,0.0,0.0
842651bffffffff,14.0,0.0,0.0,0.0
842651dffffffff,11.0,0.0,0.0,0.0
842652bffffffff,11.0,0.0,0.0,0.0
8426531ffffffff,22.0,0.0,0.0,0.0
8426533ffffffff,23.0,0.0,0.0,0.0
8426535ffffffff,5.0,0.0,0.0,0.0
8426537ffffffff,22.0,0.0,0.0,0.0
8426539ffffffff,3.0,0.0,0.0,0.0
842653bffffffff,38.0,0.0,0.0,0.0
842653dffffffff,11.0,0.0,0.0,0.0
8426557ffffffff,11.0,0.0,0.0,0.0
84265c1ffffffff,2.0,0.0,0.0,0.0
84265c7ffffffff,7.0,0.0,0.0,0.0
84265c9ffffffff,4.0,0.0,0.0,0.0
84265cdffffffff,6.0,0.0,0.0,0.0
84265e1ffffffff,1.0,0.0,0.0,0.0
84265e5ffffffff,18.0,0.0,0.0,0.0
84265ebffffffff,1.0,0.0,0.0,0.0
84265edffffffff,4.0,0.0,0.0,0.0
8426803ffffffff,2.0,0.0,0.0,0.0
8426805ffffffff,16.0,0.0,0.0,0.0
8426821ffffffff,6.0,0.0,0.0,0.0
8426823ffffffff,1.0,0.0,0.0,0.0
8426825ffffffff,2.0,0.0,0.0,0.0
8426829ffffffff,21.0,0.0,0.0,0.0
842682bffffffff,2.0,0.0,0.0,0.0
842682dffffffff,17.0,0.0,0.0,0.0
8426831ffffffff,2.0,0.0,0.0,0.0
8426835ffffffff,11.0,0.0,0.0,0.0
8426861ffffffff,2.0,0.0,0.0,0.0
8426865ffffffff,2.0,0.0,0.0,0.0
8426867ffffffff,6.0,0.0,0.0,0.0
8426881ffffffff,1808.0,0.0,0.0,0.0
8426883ffffffff,7.0,0.0,0.0,0.0
8426885ffffffff,113.0,0.0,0.0,0.0
8426887ffffffff,75.0,0.0,0.0,0.0
8426889ffffffff,122.0,0.0,0.0,0.0
842688bffffffff,30.0,0.0,0.0,0.0
842688dffffffff,276.0,0.0,0.0,0.0
8426891ffffffff,255.0,0.0,0.0,0.0
8426893ffffffff,330.0,0.0,0.0,0.0
8426895ffffffff,6.0,0.0,0.0,0.0
8426897ffffffff,26.0,0.0,0.0,0.0
8426899ffffffff,51.0,0.0,0.0,0.0
842689dffffffff,67.0,0.0,0.0,0.0
84268b1ffffffff,6.0,0.0,0.0,0.0
84268b3ffffffff,11.0,0.0,0.0,0.0
84268b5ffffffff,6.0,0.0,0.0,0.0
84268b7ffffffff,2.0,0.0,0.0,0.0
84268b9ffffffff,69.0,0.0,0.0,0.0
84268bbffffffff,29.0,0.0,0.0,0.0
84268bdffffffff,2.0,0.0,0.0,0.0
84268d3ffffffff,16.0,0.0,0.0,0.0
84268d7ffffffff,14.0,0.0,0.0,0.0
84268e3ffffffff,39.0,0.0,0.0,0.0
8426905ffffffff,10.0,0.0,0.0,0.0
8426913ffffffff,8.0,0.0,0.0,0.0
8426915ffffffff,5.0,0.0,0.0,0.0
8426917ffffffff,6.0,0.0,0.0,0.0
8426919ffffffff,4.0,0.0,0.0,0.0
8426921ffffffff,4.0,0.0,0.0,0.0
8426923ffffffff,4.0,0.0,0.0,0.0
8426927ffffffff,1.0,0.0,0.0,0.0
8426929ffffffff,154.0,0.0,0.0,0.0
842692bffffffff,1.0,0.0,0.0,0.0
842692dffffffff,9.0,0.0,0.0,0.0
8426931ffffffff,8.0,0.0,0.0,0.0
8426933ffffffff,2.0,0.0,0.0,0.0
8426939ffffffff,1.0,0.0,0.0,0.0
842693bffffffff,12.0,0.0,0.0,0.0
842693dffffffff,2.0,0.0,0.0,0.0
8426953ffffffff,28.0,0.0,0.0,0.0
8426955ffffffff,2.0,0.0,0.0,0.0
8426959ffffffff,7.0,0.0,0.0,0.0
842695bffffffff,11.0,0.0,0.0,0.0
8426961ffffffff,2.0,0.0,0.0,0.0
8426963ffffffff,19.0,0.0,0.0,0.0
8426965ffffffff,1.0,0.0,0.0,0.0
8426967ffffffff,28.0,0.0,0.0,0.0
8426969ffffffff,35.0,0.0,0.0,0.0
8426981ffffffff,7.0,0.0,0.0,0.0
8426985ffffffff,41.0,0.0,0.0,0.0
8426987ffffffff,435.0,0.0,0.0,0.0
8426989ffffffff,224.0,0.0,0.0,0.0
842698dffffffff,134.0,0.0,0.0,0.0
8426995ffffffff,47.0,0.0,0.0,0.0
8426997ffffffff,57.0,0.0,0.0,0.0
842699dffffffff,6.0,0.0,0.0,0.0
84269a1ffffffff,12.0,0.0,0.0,0.0
84269a3ffffffff,2.0,0.0,0.0,0.0
84269a5ffffffff,2.0,0.0,0.0,0.0
84269a7ffffffff,4.0,0.0,0.0,0.0
84269a9ffffffff,19.0,0.0,0.0,0.0
84269abffffffff,67.0,0.0,0.0,0.0
84269adffffffff,4.0,0.0,1.0,0.0
84269b1ffffffff,2.0,0.0,0.0,0.0
84269b9ffffffff,61.0,0.0,0.0,0.0
84269bbffffffff,37.0,0.0,0.0,0.0
84269bdffffffff,22.0,0.0,0.0,0.0
84269c1ffffffff,827.0,0.0,12.0,0.0
84269c3ffffffff,54.0,0.0,0.0,0.0
84269c5ffffffff,287.0,0.0,71.0,0.0
84269c7ffffffff,5.0,0.0,0.0,0.0
84269c9ffffffff,21.0,0.0,0.0,0.0
84269cbffffffff,32.0,0.0,2.0,0.0
84269cdffffffff,457.0,0.0,6.0,0.0
84269d5ffffffff,24.0,0.0,0.0,0.0
84269ddffffffff,17.0,0.0,0.0,0.0
84269e1ffffffff,32.0,0.0,0.0,0.0
84269e3ffffffff,5.0,0.0,2.0,0.0
84269e7ffffffff,20.0,0.0,8.0,0.0
84269e9ffffffff,38.0,0.0,2.0,0.0
84269ebffffffff,14.0,0.0,0.0,0.0
8426b31ffffffff,3.0,0.0,0.0,0.0
8426b33ffffffff,36.0,0.0,0.0,0.0
8426c01ffffffff,1.0,0.0,0.0,0.0
8426c03ffffffff,2.0,0.0,0.0,0.0
8426c07ffffffff,8.0,0.0,0.0,0.0
8426c09ffffffff,4.0,0.0,0.0,0.0
8426c0bffffffff,6.0,0.0,0.0,0.0
8426c0dffffffff,2.0,0.0,0.0,0.0
8426c11ffffffff,194.0,0.0,0.0,0.0
8426c13ffffffff,6.0,0.0,0.0,0.0
8426c17ffffffff,2.0,0.0,0.0,0.0
8426c19ffffffff,206.0,0.0,0.0,0.0
8426c1bffffffff,185.0,0.0,0.0,0.0
8426c1dffffffff,10.0,0.0,0.0,0.0
8426c21ffffffff,9.0,0.0,0.0,0.0
8426c23ffffffff,8.0,0.0,0.0,0.0
8426c25ffffffff,8.0,0.0,0.0,0.0
8426c27ffffffff,21.0,0.0,0.0,0.0
8426c29ffffffff,29.0,0.0,0.0,0.0
8426c2bffffffff,1.0,0.0,0.0,0.0
8426c2dffffffff,39.0,0.0,0.0,0.0
8426c31ffffffff,162.0,0.0,0.0,0.0
8426c33ffffffff,8.0,0.0,0.0,0.0
8426c35ffffffff,17.0,0.0,0.0,0.0
8426c37ffffffff,18.0,0.0,0.0,0.0
8426c39ffffffff,13.0,0.0,0.0,0.0
8426c3bffffffff,215.0,0.0,0.0,0.0
8426c3dffffffff,4.0,0.0,0.0,0.0
8426c43ffffffff,7.0,0.0,0.0,0.0
8426c45ffffffff,9.0,0.0,0.0,0.0
8426c47ffffffff,2.0,0.0,0.0,0.0
8426c4dffffffff,20.0,0.0,0.0,0.0
8426c51ffffffff,3.0,0.0,0.0,0.0
8426c53ffffffff,143.0,0.0,0.0,0.0
8426c55ffffffff,1.0,0.0,0.0,0.0
8426c57ffffffff,7.0,0.0,0.0,0.0
8426c5bffffffff,131.0,0.0,0.0,0.0
8426c63ffffffff,2.0,0.0,0.0,0.0
8426c65ffffffff,1.0,0.0,0.0,0.0
8426c67ffffffff,2.0,0.0,0.0,0.0
8426c69ffffffff,1.0,0.0,0.0,0.0
8426c6bffffffff,37.0,0.0,0.0,0.0
8426c6dffffffff,2.0,0.0,0.0,0.0
8426c81ffffffff,30.0,0.0,0.0,0.0
8426c83ffffffff,81.0,0.0,0.0,0.0
8426c85ffffffff,417.0,0.0,0.0,0.0
8426c87ffffffff,1113.0,0.0,0.0,0.0
8426c89ffffffff,990.0,0.0,0.0,0.0
8426c8bffffffff,2.0,0.0,0.0,0.0
8426c8dffffffff,27.0,0.0,0.0,0.0
8426c91ffffffff,6.0,0.0,0.0,0.0
8426c93ffffffff,16.0,0.0,0.0,0.0
8426c95ffffffff,3.0,0.0,0.0,0.0
8426c97ffffffff,5.0,0.0,0.0,0.0
8426c99ffffffff,3.0,0.0,0.0,0.0
8426c9bffffffff,2.0,0.0,0.0,0.0
8426c9dffffffff,50.0,0.0,0.0,0.0
8426ca1ffffffff,166.0,0.0,0.0,0.0
8426ca3ffffffff,249.0,0.0,0.0,0.0
8426ca5ffffffff,236.0,0.0,0.0,0.0
8426ca7ffffffff,102.0,0.0,0.0,0.0
8426ca9ffffffff,81.0,0.0,0.0,0.0
8426cabffffffff,268.0,0.0,0.0,0.0
8426cadffffffff,95.0,0.0,0.0,0.0
8426cb1ffffffff,23.0,0.0,0.0,0.0
8426cb5ffffffff,184.0,0.0,0.0,0.0
8426cb7ffffffff,71.0,0.0,0.0,0.0
8426cb9ffffffff,222.0,0.0,0.0,0.0
8426cbbffffffff,9.0,0.0,0.0,0.0
8426cbdffffffff,2017.0,0.0,0.0,0.0
8426cc1ffffffff,12.0,0.0,0.0,0.0
8426cc3ffffffff,11.0,0.0,0.0,0.0
8426cc5ffffffff,2.0,0.0,0.0,0.0
8426cc7ffffffff,10.0,0.0,0.0,0.0
8426ccbffffffff,11.0,0.0,0.0,0.0
8426cd1ffffffff,1.0,0.0,0.0,0.0
8426cd3ffffffff,2.0,0.0,0.0,0.0
8426cd5ffffffff,15.0,0.0,0.0,0.0
8426cd7ffffffff,1.0,0.0,0.0,0.0
8426ce1ffffffff,8.0,0.0,0.0,0.0
8426ce3ffffffff,36.0,0.0,0.0,0.0
8426ce5ffffffff,9.0,0.0,0.0,0.0
8426ce7ffffffff,16.0,0.0,0.0,0.0
8426ce9ffffffff,2.0,0.0,0.0,0.0
8426cebffffffff,4.0,0.0,0.0,0.0
8426cedffffffff,13.0,0.0,0.0,0.0
8426d03ffffffff,13.0,0.0,0.0,0.0
8426d09ffffffff,7.0,0.0,0.0,0.0
8426d0bffffffff,1.0,0.0,0.0,0.0
8426d11ffffffff,2.0,0.0,0.0,0.0
8426d13ffffffff,2.0,0.0,0.0,0.0
8426d15ffffffff,349.0,0.0,0.0,0.0
8426d17ffffffff,4.0,0.0,0.0,0.0
8426d1bffffffff,54.0,0.0,0.0,0.0
8426d1dffffffff,28.0,0.0,0.0,0.0
8426d21ffffffff,35.0,0.0,0.0,0.0
8426d23ffffffff,5.0,0.0,0.0,0.0
