cell_id,Ninox boobook,Ninox boobook [boobook Group],Ninox boobook lurida
82941ffffffffff,28.0,3.0,0.0
829457fffffffff,52.0,4.0,0.0
82945ffffffffff,89.0,16.0,0.0
829467fffffffff,12.0,5.0,0.0
829487fffffffff,80.0,6.0,0.0
82948ffffffffff,14.0,1.0,0.0
8294affffffffff,11.0,0.0,0.0
8294cffffffffff,1.0,1.0,0.0
8294d7fffffffff,1.0,0.0,0.0
8294e7fffffffff,27.0,6.0,0.0
8294effffffffff,35.0,5.0,0.0
8294f7fffffffff,39.0,2.0,0.0
82955ffffffffff,16.0,2.0,0.0
829c07fffffffff,30.0,8.0,0.0
829c0ffffffffff,20.0,3.0,0.0
829c1ffffffffff,5.0,0.0,0.0
829c27fffffffff,203.0,35.0,0.0
829c2ffffffffff,15.0,0.0,0.0
829c47fffffffff,9.0,2.0,0.0
829c4ffffffffff,10.0,1.0,0.0
829c5ffffffffff,10.0,0.0,0.0
829c67fffffffff,3.0,0.0,0.0
829c6ffffffffff,2.0,2.0,0.0
829c77fffffffff,6.0,0.0,0.0
829ce7fffffffff,3.0,0.0,0.0
829cf7fffffffff,5.0,2.0,0.0
829d07fffffffff,8.0,2.0,0.0
829d0ffffffffff,65.0,8.0,0.0
829d27fffffffff,63.0,7.0,0.0
829d2ffffffffff,7.0,3.0,0.0
829d47fffffffff,9.0,0.0,0.0
829d4ffffffffff,11.0,2.0,0.0
829d57fffffffff,12.0,0.0,0.0
829d5ffffffffff,4.0,0.0,0.0
829d67fffffffff,5.0,0.0,0.0
829d6ffffffffff,1.0,1.0,0.0
829d77fffffffff,4.0,0.0,0.0
82a617fffffffff,2.0,0.0,0.0
82a637fffffffff,4.0,2.0,0.0
82a6a7fffffffff,7.0,0.0,0.0
82a707fffffffff,4.0,4.0,0.0
82a717fffffffff,3.0,0.0,0.0
82a727fffffffff,84.0,7.0,0.0
82a737fffffffff,33.0,6.0,0.0
82a787fffffffff,3.0,0.0,0.0
82a78ffffffffff,2.0,0.0,0.0
82a797fffffffff,4.0,2.0,0.0
82a79ffffffffff,11.0,0.0,0.0
82a7a7fffffffff,2.0,2.0,0.0
82b82ffffffffff,1.0,1.0,0.0
82b847fffffffff,2.0,0.0,0.0
82b857fffffffff,6.0,3.0,0.0
82b867fffffffff,2.0,0.0,0.0
82b86ffffffffff,14.0,4.0,0.0
82b877fffffffff,2.0,0.0,0.0
82b887fffffffff,56.0,33.0,0.0
82b88ffffffffff,3.0,1.0,0.0
82b8a7fffffffff,2.0,0.0,0.0
82b8affffffffff,6.0,0.0,0.0
82b8c7fffffffff,1.0,1.0,0.0
82b917fffffffff,87.0,5.0,0.0
82b987fffffffff,8.0,2.0,0.0
82b997fffffffff,2.0,0.0,0.0
82b99ffffffffff,4.0,0.0,0.0
82b9a7fffffffff,69.0,15.0,0.0
82b9affffffffff,22.0,13.0,0.0
82b9b7fffffffff,7.0,2.0,0.0
82be0ffffffffff,1244.0,226.0,0.0
82be1ffffffffff,144.0,32.0,0.0
82be2ffffffffff,11.0,0.0,0.0
82be47fffffffff,335.0,78.0,0.0
82be4ffffffffff,337.0,101.0,0.0
82be57fffffffff,134.0,13.0,0.0
82be5ffffffffff,10.0,2.0,0.0
82be67fffffffff,601.0,138.0,0.0
82be6ffffffffff,174.0,35.0,0.0
82be77fffffffff,395.0,64.0,0.0
82be8ffffffffff,841.0,97.0,0.0
82beaffffffffff,314.0,52.0,0.0
82bec7fffffffff,2.0,2.0,0.0
82becffffffffff,50.0,10.0,0.0
82bed7fffffffff,23.0,6.0,0.0
82bedffffffffff,27.0,3.0,0.0
82bee7fffffffff,69.0,2.0,0.0
82beeffffffffff,30.0,3.0,0.0
82bef7fffffffff,239.0,50.0,0.0
82c987fffffffff,63.0,33.0,0.0
82c997fffffffff,163.0,27.0,0.0
82c99ffffffffff,21.0,5.0,0.0
82c9b7fffffffff,47.0,7.0,0.0
