cell_id,Pteruthius xanthochlorus,Pteruthius xanthochlorus xanthochlorus/occidentalis,Pteruthius xanthochlorus pallidus/hybrida
823c07fffffffff,10.0,6.0,0.0
823c0ffffffffff,8.0,0.0,0.0
823c1ffffffffff,4.0,0.0,0.0
823c57fffffffff,1.0,1.0,0.0
823c5ffffffffff,4.0,0.0,0.0
823cc7fffffffff,1.0,0.0,0.0
823cdffffffffff,2.0,0.0,1.0
823ceffffffffff,1.0,0.0,1.0
823d17fffffffff,4.0,0.0,0.0
823d37fffffffff,2.0,0.0,0.0
82408ffffffffff,4.0,0.0,0.0
8240c7fffffffff,2.0,0.0,2.0
8240e7fffffffff,4.0,0.0,4.0
8240effffffffff,2.0,0.0,2.0
824197fffffffff,1.0,0.0,0.0
