cell_id,Neocossyphus rufus,Neocossyphus rufus gabunensis,Neocossyphus rufus rufus
836a96fffffffff,2.0,0.0,0.0
836a9afffffffff,2.0,0.0,0.0
836a9efffffffff,1.0,0.0,0.0
836ac0fffffffff,133.0,22.0,0.0
836ac1fffffffff,92.0,14.0,0.0
836ac3fffffffff,5.0,0.0,0.0
836adcfffffffff,19.0,1.0,0.0
836ae8fffffffff,3.0,0.0,0.0
836aeafffffffff,71.0,2.0,0.0
837a75fffffffff,2.0,0.0,0.0
837b48fffffffff,92.0,0.0,12.0
837b4afffffffff,18.0,0.0,0.0
837b59fffffffff,187.0,0.0,0.0
838282fffffffff,1.0,0.0,0.0
838284fffffffff,7.0,1.0,0.0
838289fffffffff,1.0,0.0,0.0
83828dfffffffff,70.0,0.0,0.0
838290fffffffff,2.0,0.0,0.0
8382aafffffffff,9.0,2.0,0.0
8382abfffffffff,5.0,0.0,0.0
838392fffffffff,1.0,0.0,0.0
