cell_id,Sarothrura pulchra,Sarothrura pulchra [pulchra Group],Sarothrura pulchra centralis
8254affffffffff,4.0,0.0,0.0
8254f7fffffffff,70.0,3.0,0.0
82588ffffffffff,1.0,0.0,0.0
825897fffffffff,2.0,0.0,0.0
82589ffffffffff,2.0,2.0,0.0
8258c7fffffffff,3.0,0.0,0.0
8258cffffffffff,2.0,0.0,0.0
8258d7fffffffff,36.0,23.0,0.0
8258dffffffffff,11.0,9.0,0.0
826ac7fffffffff,419.0,0.0,0.0
826acffffffffff,152.0,0.0,0.0
826ad7fffffffff,1.0,0.0,0.0
826adffffffffff,40.0,0.0,0.0
826aeffffffffff,140.0,0.0,0.0
82750ffffffffff,330.0,33.0,0.0
82751ffffffffff,9.0,0.0,0.0
827527fffffffff,1.0,0.0,0.0
82752ffffffffff,47.0,5.0,0.0
827587fffffffff,7.0,0.0,0.0
8275a7fffffffff,1.0,0.0,0.0
8275affffffffff,1.0,0.0,0.0
8275b7fffffffff,3.0,0.0,0.0
827a4ffffffffff,231.0,0.0,0.0
828287fffffffff,1.0,0.0,0.0
82828ffffffffff,28.0,15.0,0.0
828297fffffffff,4.0,0.0,0.0
8282a7fffffffff,5.0,0.0,0.0
8282affffffffff,15.0,4.0,0.0
8282b7fffffffff,1.0,0.0,0.0
8282d7fffffffff,2.0,0.0,0.0
8282f7fffffffff,2.0,0.0,0.0
828317fffffffff,8.0,0.0,0.0
828397fffffffff,1.0,0.0,0.0
8283a7fffffffff,10.0,0.0,0.0
8283affffffffff,5.0,0.0,0.0
82960ffffffffff,13.0,0.0,0.0
829657fffffffff,2.0,0.0,0.0
