cell_id,Icteria virens,Icteria virens virens,Icteria virens auricollis
840e49bffffffff,3.0,0.0,0.0
8412583ffffffff,1.0,0.0,0.0
8412597ffffffff,19.0,0.0,0.0
8412ca5ffffffff,2.0,0.0,0.0
8412ca9ffffffff,2.0,0.0,0.0
8412cabffffffff,2.0,0.0,0.0
8412cadffffffff,3.0,0.0,0.0
8412cb1ffffffff,4.0,0.0,0.0
8412ce7ffffffff,1.0,0.0,0.0
8412d11ffffffff,3.0,0.0,0.0
8412d17ffffffff,26.0,0.0,0.0
8412d3bffffffff,1.0,0.0,0.0
8412d81ffffffff,8.0,0.0,0.0
8412d89ffffffff,22.0,0.0,0.0
8412d9bffffffff,2.0,0.0,0.0
8412d9dffffffff,4.0,0.0,2.0
8412da1ffffffff,2.0,0.0,0.0
8412da7ffffffff,4.0,0.0,0.0
8412db5ffffffff,6.0,0.0,0.0
8412db9ffffffff,1.0,0.0,0.0
8412dd7ffffffff,7.0,0.0,0.0
8412e13ffffffff,1.0,0.0,0.0
8412e1bffffffff,1.0,0.0,0.0
8412e87ffffffff,14.0,0.0,0.0
8412eb3ffffffff,1.0,0.0,0.0
841aa07ffffffff,78.0,0.0,0.0
841aa23ffffffff,7.0,0.0,0.0
841aa35ffffffff,3.0,0.0,0.0
841aa3dffffffff,6.0,0.0,0.0
841b823ffffffff,2.0,0.0,0.0
8426015ffffffff,5.0,0.0,0.0
8426099ffffffff,1.0,0.0,0.0
84260a1ffffffff,5.0,0.0,0.0
84260a9ffffffff,5.0,0.0,0.0
84260adffffffff,2.0,0.0,0.0
84260bdffffffff,3.0,0.0,0.0
84260d3ffffffff,2.0,0.0,0.0
84260d7ffffffff,1.0,0.0,0.0
84260d9ffffffff,3.0,0.0,0.0
84260ebffffffff,1.0,0.0,0.0
8426111ffffffff,4.0,0.0,0.0
842611dffffffff,12.0,0.0,0.0
8426127ffffffff,3.0,0.0,0.0
842615bffffffff,2.0,0.0,0.0
842619dffffffff,1.0,0.0,0.0
84261b1ffffffff,2.0,0.0,0.0
842620bffffffff,2.0,0.0,0.0
842623bffffffff,13.0,0.0,0.0
842624dffffffff,1.0,0.0,0.0
8426293ffffffff,5.0,0.0,0.0
84262b3ffffffff,9.0,0.0,0.0
84262b5ffffffff,2.0,0.0,0.0
84262c3ffffffff,4.0,0.0,0.0
84262c7ffffffff,4.0,0.0,0.0
84262c9ffffffff,75.0,0.0,0.0
84262cdffffffff,2.0,0.0,0.0
84262d1ffffffff,2.0,0.0,0.0
84262d9ffffffff,9.0,0.0,0.0
84262ebffffffff,5.0,0.0,0.0
8426341ffffffff,1.0,0.0,0.0
8426369ffffffff,2.0,0.0,2.0
8426405ffffffff,1.0,0.0,0.0
842640dffffffff,2.0,0.0,0.0
8426433ffffffff,1.0,0.0,0.0
8426437ffffffff,1.0,0.0,0.0
8426439ffffffff,8.0,0.0,0.0
8426461ffffffff,4.0,0.0,0.0
8426463ffffffff,11.0,0.0,0.0
842646bffffffff,1.0,0.0,0.0
8426487ffffffff,6.0,0.0,0.0
8426489ffffffff,2.0,0.0,0.0
842648bffffffff,5.0,0.0,0.0
842648dffffffff,1.0,0.0,0.0
84264a3ffffffff,1.0,0.0,0.0
84264a5ffffffff,4.0,0.0,0.0
84264a7ffffffff,12.0,0.0,0.0
84264c3ffffffff,3.0,1.0,0.0
84264c5ffffffff,3.0,0.0,0.0
84264c7ffffffff,4.0,0.0,0.0
84264d1ffffffff,7.0,0.0,0.0
84264e5ffffffff,7.0,0.0,0.0
8426501ffffffff,2.0,0.0,0.0
842650dffffffff,1.0,0.0,0.0
8426519ffffffff,1.0,0.0,0.0
842651bffffffff,13.0,0.0,0.0
8426521ffffffff,17.0,0.0,0.0
8426523ffffffff,3.0,0.0,0.0
842652bffffffff,2.0,0.0,0.0
8426531ffffffff,1.0,0.0,0.0
8426533ffffffff,6.0,0.0,0.0
842653dffffffff,18.0,0.0,0.0
8426553ffffffff,1.0,0.0,0.0
8426555ffffffff,7.0,0.0,0.0
8426557ffffffff,3.0,0.0,0.0
8426559ffffffff,7.0,0.0,0.0
842655bffffffff,3.0,0.0,0.0
842655dffffffff,2.0,0.0,0.0
8426565ffffffff,2.0,0.0,0.0
8426567ffffffff,4.0,0.0,0.0
8426585ffffffff,2.0,0.0,0.0
8426587ffffffff,2.0,0.0,0.0
8426599ffffffff,5.0,0.0,0.0
842659bffffffff,1.0,0.0,0.0
84265a7ffffffff,1.0,0.0,0.0
84265b5ffffffff,2.0,0.0,0.0
84265b9ffffffff,2.0,0.0,0.0
84265c1ffffffff,6.0,1.0,0.0
84265c5ffffffff,1.0,0.0,0.0
84265d9ffffffff,1.0,0.0,0.0
84265dbffffffff,13.0,0.0,0.0
84265ddffffffff,2.0,0.0,0.0
84265e1ffffffff,2.0,0.0,0.0
84265e3ffffffff,2.0,0.0,0.0
84265e7ffffffff,3.0,0.0,0.0
84265ebffffffff,1.0,0.0,0.0
84265edffffffff,2.0,0.0,0.0
8426619ffffffff,3.0,0.0,0.0
842661bffffffff,2.0,0.0,0.0
8426621ffffffff,14.0,0.0,0.0
8426623ffffffff,4.0,0.0,0.0
8426629ffffffff,7.0,0.0,0.0
842662bffffffff,3.0,0.0,0.0
842663dffffffff,5.0,0.0,0.0
8426641ffffffff,3.0,0.0,0.0
8426645ffffffff,7.0,0.0,0.0
842664dffffffff,52.0,2.0,0.0
842665bffffffff,1.0,0.0,0.0
8426669ffffffff,6.0,0.0,0.0
842666bffffffff,2.0,0.0,0.0
842669bffffffff,4.0,0.0,0.0
84266a5ffffffff,1.0,0.0,0.0
84266bbffffffff,1.0,0.0,0.0
84266c1ffffffff,2.0,0.0,0.0
84266cbffffffff,2.0,0.0,0.0
84266dbffffffff,2.0,0.0,0.0
