cell_id,Cuculus clamosus,Cuculus clamosus gabonensis,Cuculus clamosus clamosus
826a5ffffffffff,5.0,0.0,0.0
826acffffffffff,10.0,0.0,0.0
826adffffffffff,2.0,0.0,0.0
82752ffffffffff,3.0,0.0,0.0
827a47fffffffff,12.0,0.0,0.0
827a4ffffffffff,9.0,2.0,0.0
827a5ffffffffff,2.0,0.0,0.0
827a67fffffffff,25.0,0.0,0.0
827a6ffffffffff,7.0,0.0,0.0
827aeffffffffff,2.0,0.0,0.0
82960ffffffffff,2.0,0.0,0.0
82971ffffffffff,2.0,0.0,0.0
82bc57fffffffff,2.0,0.0,0.0
82bcd7fffffffff,2.0,0.0,2.0
82bcdffffffffff,2.0,0.0,0.0
