cell_id,Turdus albicollis,Turdus albicollis [phaeopygus Group],Turdus albicollis [albicollis Group]
845f407ffffffff,1.0,0.0,0.0
845f42bffffffff,1.0,0.0,0.0
845f583ffffffff,4.0,4.0,0.0
845f5b5ffffffff,15.0,5.0,0.0
8466de1ffffffff,3.0,3.0,0.0
8467425ffffffff,4.0,0.0,0.0
84674c7ffffffff,4.0,0.0,0.0
8467519ffffffff,2.0,0.0,0.0
846758dffffffff,2.0,0.0,0.0
8481363ffffffff,2.0,0.0,2.0
8481851ffffffff,4.0,0.0,0.0
8481857ffffffff,24.0,0.0,0.0
848b229ffffffff,10.0,0.0,9.0
848e643ffffffff,5.0,5.0,0.0
84a8311ffffffff,2.0,0.0,2.0
84a882dffffffff,3.0,0.0,3.0
84a8919ffffffff,1.0,0.0,1.0
84a92cbffffffff,4.0,0.0,0.0
84a92ddffffffff,8.0,0.0,0.0
84a9717ffffffff,2.0,0.0,0.0
84a9719ffffffff,5.0,0.0,0.0
84a973bffffffff,4.0,0.0,0.0
84b25e3ffffffff,1.0,0.0,0.0
84c2d05ffffffff,2.0,0.0,0.0
84c2d85ffffffff,2.0,0.0,0.0
84c2d93ffffffff,7.0,0.0,0.0
84c2f3dffffffff,4.0,0.0,0.0
