cell_id,Muscisaxicola rufivertex,Muscisaxicola rufivertex occipitalis,Muscisaxicola rufivertex pallidiceps,Muscisaxicola rufivertex rufivertex
828e67fffffffff,10.0,4.0,3.0,3.0
82b207fffffffff,18.0,0.0,0.0,9.0
82b20ffffffffff,2.0,0.0,0.0,0.0
82b21ffffffffff,54.0,0.0,0.0,0.0
82b22ffffffffff,2.0,0.0,0.0,0.0
82b25ffffffffff,5.0,0.0,0.0,0.0
82b2c7fffffffff,81.0,0.0,0.0,0.0
82b2cffffffffff,7.0,0.0,0.0,0.0
82b2e7fffffffff,9.0,0.0,0.0,0.0
82b30ffffffffff,1.0,0.0,0.0,0.0
82b327fffffffff,1.0,0.0,0.0,0.0
82b357fffffffff,2.0,0.0,0.0,0.0
82ce87fffffffff,3.0,0.0,0.0,0.0
