cell_id,Elminia albiventris,Elminia albiventris albiventris,Elminia albiventris toroensis
8458d03ffffffff,1.0,0.0,0.0
8458d0bffffffff,1.0,0.0,0.0
8458d13ffffffff,1.0,0.0,0.0
8458d1dffffffff,2.0,0.0,0.0
8458d33ffffffff,21.0,18.0,0.0
8458d37ffffffff,3.0,3.0,0.0
8458dcdffffffff,5.0,0.0,0.0
846ac5bffffffff,2.0,0.0,0.0
846adc1ffffffff,143.0,0.0,0.0
846adc3ffffffff,2.0,0.0,0.0
846adc7ffffffff,1.0,0.0,0.0
846adc9ffffffff,2.0,0.0,0.0
846ade7ffffffff,64.0,0.0,0.0
846adebffffffff,1.0,0.0,0.0
847a48bffffffff,2.0,0.0,0.0
8482d03ffffffff,7.0,5.0,0.0
8482d07ffffffff,2.0,0.0,0.0
8482d1dffffffff,19.0,12.0,0.0
8482d27ffffffff,9.0,1.0,0.0
8482d3dffffffff,38.0,19.0,0.0
8496d21ffffffff,3.0,0.0,0.0
