cell_id,Curruca curruca,Curruca curruca curruca/blythi,Curruca curruca halimodendri,Curruca curruca minula,Curruca curruca margelanica,Curruca curruca althaea,Curruca curruca curruca/blythi/halimodendri,Curruca curruca curruca/minula,Curruca curruca minula/margelanica,Curruca curruca curruca/althaea,Curruca curruca curruca/minula/althaea
830810fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830811fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
830812fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
830813fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
830814fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830816fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
83081efffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830833fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
830836fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830880fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830882fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
830883fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
830884fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
830885fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
830886fffffffff,73.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
830888fffffffff,46.0,9.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
83088afffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83088bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83088efffffffff,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830890fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830893fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
830895fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
830896fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
830898fffffffff,46.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
830899fffffffff,93.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
83089afffffffff,110.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0
83089bfffffffff,70.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
83089cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83089dfffffffff,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83089efffffffff,79.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0
8308a0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a4fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8308a5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b0fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b1fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
8308b3fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8308b4fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
8308b5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
8308c2fffffffff,8.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
8308c6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308c8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308cefffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d1fffffffff,47.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
8308d2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d4fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d5fffffffff,25.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
8308d8fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
8308dafffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8308dbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8308eafffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308f2fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308f6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830980fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
830982fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
830988fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830989fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83098afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83098dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
830991fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
830998fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
830999fffffffff,42.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
83099bfffffffff,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
83099cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
83099efffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
