cell_id,Picus viridis,Picus viridis viridis/karelini,Picus viridis innominatus
841864bffffffff,2.0,2.0,0.0
8418651ffffffff,2.0,0.0,0.0
8418653ffffffff,4.0,0.0,0.0
8418655ffffffff,4.0,0.0,0.0
8418657ffffffff,2.0,0.0,0.0
8418659ffffffff,3.0,0.0,0.0
841865dffffffff,9.0,0.0,0.0
8418681ffffffff,2.0,0.0,0.0
8418683ffffffff,8.0,0.0,0.0
8418685ffffffff,30.0,0.0,0.0
8418687ffffffff,18.0,5.0,0.0
841868dffffffff,2.0,0.0,0.0
8418695ffffffff,15.0,0.0,0.0
8418697ffffffff,7.0,0.0,0.0
841869dffffffff,6.0,0.0,0.0
84186a1ffffffff,4.0,0.0,0.0
84186a3ffffffff,2.0,0.0,0.0
84186a5ffffffff,1.0,0.0,0.0
84186a7ffffffff,6.0,0.0,0.0
84186a9ffffffff,3.0,0.0,0.0
84186abffffffff,6.0,0.0,0.0
84186adffffffff,2.0,0.0,0.0
84186b1ffffffff,2.0,0.0,0.0
84186b3ffffffff,3.0,0.0,0.0
84186b7ffffffff,1.0,0.0,0.0
84186b9ffffffff,2.0,0.0,0.0
84186bdffffffff,2.0,0.0,0.0
84186c1ffffffff,45.0,0.0,0.0
84186c3ffffffff,51.0,2.0,0.0
84186c5ffffffff,35.0,4.0,0.0
84186c7ffffffff,7.0,0.0,0.0
84186c9ffffffff,89.0,0.0,0.0
84186cbffffffff,48.0,0.0,0.0
84186cdffffffff,37.0,0.0,0.0
84186d1ffffffff,19.0,15.0,0.0
84186d5ffffffff,5.0,0.0,0.0
84186d7ffffffff,2.0,1.0,0.0
84186d9ffffffff,4.0,0.0,0.0
84186dbffffffff,7.0,1.0,0.0
84186ddffffffff,4.0,0.0,0.0
84186e1ffffffff,1.0,0.0,0.0
84186e5ffffffff,12.0,0.0,0.0
84186e7ffffffff,3.0,0.0,0.0
84186e9ffffffff,6.0,0.0,0.0
84186ebffffffff,7.0,0.0,0.0
84186edffffffff,27.0,0.0,0.0
841870dffffffff,40.0,6.0,0.0
8418717ffffffff,2.0,0.0,0.0
841871bffffffff,19.0,0.0,0.0
8418741ffffffff,2.0,2.0,0.0
8418743ffffffff,2.0,0.0,0.0
8418747ffffffff,10.0,0.0,0.0
841874bffffffff,5.0,0.0,0.0
841875dffffffff,8.0,0.0,0.0
8419099ffffffff,2.0,0.0,0.0
841909bffffffff,2.0,0.0,0.0
84190d3ffffffff,3.0,0.0,0.0
84190dbffffffff,4.0,0.0,0.0
84190ddffffffff,2.0,0.0,0.0
8419403ffffffff,5.0,0.0,0.0
8419405ffffffff,116.0,4.0,0.0
8419407ffffffff,51.0,2.0,0.0
841940dffffffff,2.0,0.0,0.0
8419411ffffffff,180.0,42.0,0.0
8419413ffffffff,609.0,204.0,0.0
8419415ffffffff,209.0,46.0,0.0
8419417ffffffff,351.0,61.0,0.0
841941bffffffff,44.0,14.0,0.0
8419421ffffffff,63.0,11.0,0.0
8419423ffffffff,113.0,8.0,0.0
8419425ffffffff,15.0,5.0,0.0
8419427ffffffff,85.0,10.0,0.0
8419429ffffffff,4.0,0.0,0.0
841942bffffffff,113.0,58.0,0.0
841942dffffffff,22.0,7.0,0.0
8419431ffffffff,97.0,12.0,0.0
8419433ffffffff,382.0,9.0,0.0
8419435ffffffff,183.0,21.0,0.0
8419437ffffffff,356.0,7.0,0.0
8419439ffffffff,23.0,7.0,0.0
841943bffffffff,140.0,64.0,0.0
841943dffffffff,35.0,18.0,0.0
8419461ffffffff,21.0,9.0,0.0
8419463ffffffff,1.0,0.0,0.0
8419465ffffffff,3.0,0.0,0.0
8419467ffffffff,8.0,4.0,0.0
8419481ffffffff,56.0,19.0,0.0
8419483ffffffff,11.0,0.0,0.0
8419485ffffffff,247.0,48.0,0.0
841948bffffffff,15.0,3.0,0.0
841948dffffffff,723.0,244.0,0.0
8419495ffffffff,13.0,4.0,0.0
8419497ffffffff,3.0,2.0,0.0
8419499ffffffff,17.0,0.0,0.0
841949dffffffff,2.0,0.0,0.0
84194a1ffffffff,117.0,0.0,0.0
