cell_id,Tauraco macrorhynchus,Tauraco macrorhynchus macrorhynchus,Tauraco macrorhynchus verreauxii
8354e9fffffffff,1.0,0.0,0.0
835896fffffffff,11.0,0.0,0.0
8358c1fffffffff,1.0,0.0,0.0
8358d2fffffffff,13.0,0.0,0.0
8358d3fffffffff,99.0,0.0,88.0
837501fffffffff,1.0,0.0,0.0
837508fffffffff,369.0,33.0,0.0
837509fffffffff,2.0,0.0,0.0
83750cfffffffff,3.0,0.0,0.0
83750dfffffffff,462.0,60.0,0.0
837518fffffffff,4.0,0.0,0.0
837519fffffffff,9.0,0.0,0.0
83751dfffffffff,4.0,0.0,0.0
837529fffffffff,157.0,18.0,0.0
83752afffffffff,14.0,2.0,0.0
83752bfffffffff,45.0,12.0,0.0
83752efffffffff,3.0,0.0,0.0
837586fffffffff,4.0,0.0,0.0
8375a0fffffffff,4.0,0.0,0.0
8375a1fffffffff,1.0,0.0,0.0
8375a3fffffffff,2.0,0.0,0.0
8375a8fffffffff,8.0,0.0,0.0
8375b0fffffffff,7.0,0.0,0.0
8375b3fffffffff,1.0,0.0,0.0
838212fffffffff,17.0,0.0,0.0
838218fffffffff,3.0,0.0,0.0
838284fffffffff,1.0,0.0,0.0
838285fffffffff,3.0,0.0,0.0
83828bfffffffff,4.0,0.0,0.0
83828dfffffffff,340.0,0.0,147.0
8382a0fffffffff,13.0,0.0,1.0
8382a1fffffffff,1.0,0.0,0.0
8382a3fffffffff,6.0,0.0,0.0
8382a8fffffffff,6.0,0.0,0.0
8382aafffffffff,11.0,0.0,6.0
8382abfffffffff,29.0,0.0,5.0
8382d0fffffffff,57.0,0.0,38.0
8382d1fffffffff,17.0,0.0,13.0
8382d2fffffffff,37.0,0.0,15.0
8382d3fffffffff,45.0,0.0,22.0
8382d4fffffffff,2.0,0.0,0.0
8382f0fffffffff,5.0,0.0,3.0
8382f2fffffffff,1.0,0.0,1.0
8382f4fffffffff,1.0,0.0,0.0
8382f6fffffffff,4.0,0.0,0.0
83838efffffffff,1.0,0.0,0.0
8383a8fffffffff,2.0,0.0,0.0
