cell_id,Heinrichia calligyna,Heinrichia calligyna simplex,Heinrichia calligyna calligyna/picta
8468d23ffffffff,4.0,0.0,0.0
8468d2bffffffff,152.0,0.0,32.0
8468debffffffff,1.0,0.0,0.0
8495285ffffffff,1.0,0.0,0.0
