cell_id,Pyrrhura frontalis,Pyrrhura frontalis frontalis,Pyrrhura frontalis chiripepe
828107fffffffff,48.0,2.0,0.0
82811ffffffffff,8.0,0.0,0.0
828127fffffffff,55.0,0.0,0.0
828137fffffffff,529.0,15.0,0.0
82a807fffffffff,1091.0,117.0,6.0
82a80ffffffffff,32.0,0.0,0.0
82a817fffffffff,6298.0,294.0,0.0
82a81ffffffffff,5.0,0.0,0.0
82a827fffffffff,430.0,0.0,66.0
82a82ffffffffff,107.0,0.0,0.0
82a837fffffffff,787.0,1.0,45.0
82a867fffffffff,133.0,0.0,0.0
82a877fffffffff,2.0,0.0,0.0
82a887fffffffff,510.0,73.0,0.0
82a88ffffffffff,6.0,0.0,0.0
82a897fffffffff,165.0,27.0,0.0
82a8a7fffffffff,4049.0,219.0,0.0
82a8affffffffff,580.0,0.0,0.0
82a8b7fffffffff,1.0,0.0,0.0
82a8f7fffffffff,11.0,0.0,0.0
82a907fffffffff,14.0,0.0,0.0
82a90ffffffffff,509.0,0.0,29.0
82a91ffffffffff,736.0,0.0,55.0
82a92ffffffffff,1220.0,0.0,3.0
82a947fffffffff,880.0,0.0,0.0
82a94ffffffffff,193.0,0.0,0.0
82a957fffffffff,1726.0,0.0,6.0
82a95ffffffffff,433.0,0.0,0.0
82a967fffffffff,3.0,0.0,0.0
82a96ffffffffff,412.0,0.0,0.0
82a977fffffffff,87.0,0.0,0.0
82b36ffffffffff,2.0,0.0,0.0
82c2d7fffffffff,15.0,0.0,0.0
82c2e7fffffffff,589.0,0.0,0.0
