cell_id,Pinicola enucleator,Pinicola enucleator [enucleator Group],Pinicola enucleator flammula,Pinicola enucleator carlottae,Pinicola enucleator montana,Pinicola enucleator californica,Pinicola enucleator leucura
84081edffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840880dffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8408863ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8408c95ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
8408cd7ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8409a43ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c143ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
840c147ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c42dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840c55bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5adffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840e45bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840e49bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840e623ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840ec09ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840ec0bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840ec2dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840ec81ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840eca7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840ecc1ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
840ecc9ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
840ed09ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840edc9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840eea7ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
840eeb5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84124e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412515ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,9.0
8412527ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8412539ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0
8412597ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
841289bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412a99ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c11ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c55ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c85ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c8bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c93ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ca5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ccdffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ce1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ce7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d35ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
