cell_id,Certhilauda curvirostris,Certhilauda curvirostris curvirostris/falcirostris,Certhilauda curvirostris brevirostris
83ad12fffffffff,3.0,3.0,0.0
83ad32fffffffff,155.0,137.0,0.0
83ada1fffffffff,2.0,2.0,0.0
83ada8fffffffff,2.0,2.0,0.0
83adacfffffffff,69.0,67.0,0.0
83adb5fffffffff,1.0,1.0,0.0
83bc45fffffffff,11.0,0.0,10.0
83bc49fffffffff,17.0,17.0,0.0
83bc4dfffffffff,12.0,12.0,0.0
83bc68fffffffff,160.0,0.0,150.0
83bc69fffffffff,5.0,0.0,5.0
83bc6afffffffff,191.0,0.0,180.0
83bc6bfffffffff,96.0,0.0,94.0
