cell_id,Psilopogon chrysopogon,Psilopogon chrysopogon chrysopogon/laetus,Psilopogon chrysopogon chrysopsis
836414fffffffff,1.0,1.0,0.0
836422fffffffff,9.0,5.0,0.0
836431fffffffff,58.0,40.0,0.0
836433fffffffff,2.0,2.0,0.0
836434fffffffff,157.0,112.0,0.0
836435fffffffff,13.0,13.0,0.0
836500fffffffff,468.0,249.0,0.0
836501fffffffff,5.0,1.0,0.0
836502fffffffff,136.0,6.0,0.0
836503fffffffff,27.0,0.0,0.0
836504fffffffff,7.0,7.0,0.0
836505fffffffff,515.0,165.0,0.0
836506fffffffff,3.0,0.0,0.0
836509fffffffff,1.0,0.0,0.0
83650dfffffffff,4.0,3.0,0.0
836518fffffffff,120.0,48.0,0.0
836519fffffffff,3.0,0.0,0.0
83651bfffffffff,67.0,31.0,0.0
83651cfffffffff,280.0,155.0,0.0
83651dfffffffff,27.0,0.0,0.0
836522fffffffff,11.0,7.0,0.0
836523fffffffff,13.0,3.0,0.0
836525fffffffff,5.0,3.0,0.0
836526fffffffff,5.0,5.0,0.0
83652dfffffffff,21.0,21.0,0.0
836554fffffffff,4.0,0.0,0.0
836556fffffffff,4.0,1.0,0.0
836589fffffffff,1.0,1.0,0.0
836802fffffffff,104.0,0.0,103.0
836810fffffffff,8.0,0.0,4.0
836811fffffffff,361.0,0.0,290.0
836812fffffffff,54.0,0.0,49.0
836813fffffffff,2.0,0.0,1.0
836815fffffffff,2.0,0.0,2.0
836818fffffffff,357.0,0.0,271.0
83681afffffffff,122.0,0.0,97.0
83681cfffffffff,76.0,0.0,63.0
83681efffffffff,34.0,0.0,20.0
83689afffffffff,11.0,0.0,4.0
8368a1fffffffff,2.0,0.0,2.0
8368abfffffffff,3.0,0.0,3.0
8368acfffffffff,50.0,0.0,45.0
8368b0fffffffff,1.0,0.0,0.0
83699afffffffff,2.0,0.0,0.0
838c1afffffffff,23.0,2.0,0.0
838c96fffffffff,69.0,0.0,64.0
838cadfffffffff,2.0,0.0,0.0
838cb2fffffffff,3.0,0.0,0.0
838cd3fffffffff,2.0,2.0,0.0
838cd5fffffffff,27.0,15.0,0.0
838cd6fffffffff,3.0,0.0,0.0
