cell_id,Selenidera reinwardtii,Selenidera reinwardtii reinwardtii,Selenidera reinwardtii langsdorffii
83665afffffffff,1.0,0.0,0.0
8366c1fffffffff,4.0,0.0,0.0
8366c2fffffffff,160.0,0.0,0.0
8366c3fffffffff,6.0,0.0,0.0
8366c9fffffffff,3.0,0.0,0.0
8366cbfffffffff,1.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0
8366cefffffffff,28.0,0.0,0.0
8366d1fffffffff,116.0,0.0,0.0
8366d8fffffffff,58.0,0.0,0.0
8366dafffffffff,19.0,2.0,0.0
8366dbfffffffff,19.0,0.0,0.0
8366dcfffffffff,392.0,42.0,0.0
8366ddfffffffff,59.0,6.0,0.0
8366defffffffff,762.0,46.0,0.0
8366e8fffffffff,2.0,0.0,0.0
8366eafffffffff,7.0,0.0,0.0
8366eefffffffff,2.0,0.0,0.0
838a00fffffffff,7.0,0.0,3.0
838a01fffffffff,10.0,0.0,4.0
838a05fffffffff,52.0,0.0,0.0
838a1afffffffff,20.0,0.0,3.0
838a21fffffffff,1.0,0.0,0.0
838a2cfffffffff,3.0,0.0,0.0
838a31fffffffff,2.0,0.0,0.0
838a45fffffffff,30.0,0.0,0.0
838a48fffffffff,2.0,0.0,0.0
838a56fffffffff,2.0,0.0,0.0
838a63fffffffff,27.0,0.0,0.0
838a68fffffffff,3.0,0.0,0.0
838a69fffffffff,67.0,0.0,0.0
838a6bfffffffff,1.0,0.0,0.0
838a6dfffffffff,78.0,0.0,0.0
838a70fffffffff,7.0,0.0,0.0
838aa9fffffffff,12.0,0.0,0.0
838af4fffffffff,5.0,0.0,0.0
838b01fffffffff,3.0,0.0,0.0
838b40fffffffff,66.0,0.0,0.0
838b42fffffffff,2.0,0.0,0.0
838b44fffffffff,273.0,0.0,6.0
838b45fffffffff,6.0,0.0,0.0
838b46fffffffff,35.0,0.0,0.0
838b48fffffffff,2.0,0.0,0.0
838b4dfffffffff,1.0,0.0,0.0
838b4efffffffff,1.0,0.0,0.0
838b52fffffffff,4.0,0.0,2.0
838b53fffffffff,3.0,0.0,3.0
838b5cfffffffff,1.0,0.0,0.0
838b5dfffffffff,2.0,0.0,0.0
838b61fffffffff,58.0,0.0,1.0
838b62fffffffff,22.0,0.0,0.0
838b63fffffffff,134.0,0.0,4.0
838b69fffffffff,42.0,0.0,0.0
838b6cfffffffff,3.0,0.0,0.0
838b6efffffffff,54.0,0.0,0.0
838b71fffffffff,119.0,0.0,2.0
838b74fffffffff,19.0,0.0,4.0
838f40fffffffff,103.0,0.0,0.0
838f43fffffffff,16.0,0.0,0.0
838f46fffffffff,274.0,0.0,0.0
838f49fffffffff,3.0,0.0,0.0
838f4afffffffff,19.0,0.0,0.0
838f4bfffffffff,7.0,0.0,0.0
838f4dfffffffff,1.0,0.0,0.0
838f4efffffffff,2.0,0.0,0.0
838f5dfffffffff,4.0,0.0,0.0
838f61fffffffff,17.0,0.0,0.0
838f65fffffffff,21.0,0.0,0.0
838f6bfffffffff,23.0,0.0,0.0
838f70fffffffff,4.0,2.0,0.0
838f71fffffffff,3.0,0.0,0.0
838f72fffffffff,74.0,7.0,0.0
838f73fffffffff,3.0,0.0,0.0
838f74fffffffff,20.0,0.0,0.0
838f76fffffffff,8.0,0.0,0.0
83b324fffffffff,4.0,0.0,0.0
