cell_id,Agricola pallidus,Agricola pallidus [pallidus Group],Agricola pallidus bafirawari,Agricola pallidus subalaris/erlangeri
8454a9bffffffff,1.0,0.0,0.0,0.0
8454e13ffffffff,1.0,0.0,0.0,0.0
8454ecdffffffff,1.0,0.0,0.0,0.0
846a459ffffffff,2.0,0.0,0.0,0.0
847a45dffffffff,1.0,0.0,0.0,0.0
847a531ffffffff,2.0,0.0,0.0,0.0
847a641ffffffff,2.0,0.0,0.0,0.0
847a681ffffffff,1.0,0.0,0.0,0.0
847a697ffffffff,2.0,0.0,0.0,0.0
847a6a1ffffffff,1.0,0.0,0.0,0.0
847a6e5ffffffff,23.0,0.0,0.0,0.0
847b4a7ffffffff,1.0,0.0,0.0,0.0
84bc8b7ffffffff,3.0,3.0,0.0,0.0
84bcd05ffffffff,1.0,1.0,0.0,0.0
84bcd29ffffffff,1.0,1.0,0.0,0.0
84bcdc3ffffffff,2.0,2.0,0.0,0.0
