cell_id,Salpinctes obsoletus,Salpinctes obsoletus [obsoletus Group],Salpinctes obsoletus [guttatus Group]
8312c0fffffffff,2.0,0.0,0.0
8312c1fffffffff,29.0,0.0,0.0
8312c3fffffffff,2.0,0.0,0.0
8312c4fffffffff,3.0,0.0,0.0
8312c8fffffffff,48.0,0.0,0.0
8312c9fffffffff,148.0,0.0,0.0
8312cafffffffff,11.0,0.0,0.0
8312cbfffffffff,12.0,0.0,0.0
8312ccfffffffff,104.0,0.0,0.0
8312cdfffffffff,5.0,0.0,0.0
8312cefffffffff,5.0,0.0,0.0
8312d0fffffffff,12.0,0.0,0.0
8312d1fffffffff,43.0,0.0,0.0
8312d3fffffffff,63.0,0.0,0.0
8312d6fffffffff,10.0,0.0,0.0
8312d8fffffffff,14.0,0.0,0.0
8312d9fffffffff,5.0,0.0,0.0
8312dafffffffff,125.0,0.0,0.0
8312dbfffffffff,65.0,0.0,0.0
8312dcfffffffff,2.0,0.0,0.0
8312ddfffffffff,8.0,0.0,0.0
8312defffffffff,435.0,0.0,0.0
8312e2fffffffff,1.0,0.0,0.0
8312e8fffffffff,27.0,0.0,0.0
8312eafffffffff,1.0,0.0,0.0
8312ebfffffffff,84.0,0.0,0.0
8312f1fffffffff,4.0,0.0,0.0
832610fffffffff,324.0,0.0,0.0
832612fffffffff,21.0,2.0,0.0
832616fffffffff,301.0,0.0,0.0
832634fffffffff,3.0,0.0,0.0
832636fffffffff,16.0,0.0,0.0
832680fffffffff,49.0,0.0,0.0
832681fffffffff,1212.0,0.0,0.0
832682fffffffff,98.0,0.0,0.0
832683fffffffff,110.0,0.0,0.0
832684fffffffff,43.0,0.0,0.0
832685fffffffff,391.0,0.0,0.0
832686fffffffff,40.0,0.0,0.0
832688fffffffff,1401.0,0.0,0.0
832689fffffffff,814.0,0.0,0.0
83268afffffffff,103.0,0.0,0.0
83268bfffffffff,230.0,0.0,0.0
83268cfffffffff,1596.0,0.0,0.0
83268dfffffffff,292.0,0.0,0.0
83268efffffffff,258.0,0.0,0.0
832690fffffffff,165.0,0.0,0.0
832691fffffffff,237.0,8.0,0.0
832692fffffffff,260.0,0.0,0.0
832693fffffffff,80.0,0.0,0.0
832694fffffffff,241.0,0.0,0.0
832695fffffffff,191.0,0.0,0.0
832696fffffffff,1811.0,0.0,0.0
832698fffffffff,804.0,0.0,0.0
832699fffffffff,113.0,0.0,0.0
83269afffffffff,330.0,4.0,0.0
83269bfffffffff,153.0,0.0,0.0
83269cfffffffff,2152.0,0.0,0.0
83269dfffffffff,369.0,0.0,0.0
83269efffffffff,1134.0,74.0,0.0
8326a0fffffffff,18.0,0.0,0.0
8326a1fffffffff,157.0,1.0,0.0
8326a2fffffffff,67.0,0.0,0.0
8326a3fffffffff,98.0,0.0,0.0
8326a4fffffffff,5.0,0.0,0.0
8326a5fffffffff,413.0,0.0,0.0
8326a6fffffffff,23.0,0.0,0.0
8326a8fffffffff,112.0,0.0,0.0
8326a9fffffffff,68.0,0.0,0.0
8326aafffffffff,1089.0,0.0,0.0
8326abfffffffff,238.0,0.0,0.0
8326acfffffffff,125.0,4.0,0.0
8326adfffffffff,20.0,1.0,0.0
8326aefffffffff,177.0,3.0,0.0
8326b0fffffffff,60.0,0.0,0.0
8326b1fffffffff,77.0,0.0,0.0
8326b2fffffffff,51.0,0.0,0.0
8326b3fffffffff,88.0,0.0,0.0
8326b4fffffffff,46.0,0.0,0.0
8326b5fffffffff,28.0,0.0,0.0
8326b6fffffffff,78.0,0.0,0.0
