cell_id,Cinnyris shelleyi,Cinnyris shelleyi shelleyi,Cinnyris shelleyi hofmanni
829607fffffffff,7.0,0.0,0.0
82960ffffffffff,2.0,1.0,0.0
829617fffffffff,2.0,0.0,0.0
829627fffffffff,4.0,1.0,0.0
82962ffffffffff,8.0,0.0,0.0
829637fffffffff,15.0,6.0,0.0
8296a7fffffffff,7.0,0.0,0.0
8296affffffffff,2.0,2.0,0.0
8296b7fffffffff,53.0,4.0,27.0
82974ffffffffff,1.0,0.0,0.0
829757fffffffff,43.0,18.0,0.0
82975ffffffffff,1.0,0.0,0.0
82978ffffffffff,7.0,6.0,0.0
82979ffffffffff,3.0,0.0,0.0
8297affffffffff,2.0,1.0,0.0
