cell_id,Thlypopsis superciliaris,Thlypopsis superciliaris chrysophrys,Thlypopsis superciliaris [superciliaris Group],Thlypopsis superciliaris leucogastra/insignis,Thlypopsis superciliaris urubambae
82660ffffffffff,2.0,0.0,0.0,0.0,0.0
82661ffffffffff,1.0,0.0,0.0,0.0,0.0
82662ffffffffff,8.0,1.0,0.0,0.0,0.0
8266d7fffffffff,25.0,0.0,8.0,0.0,0.0
8266dffffffffff,3.0,0.0,1.0,0.0,0.0
8266e7fffffffff,2.0,0.0,2.0,0.0,0.0
828b6ffffffffff,5.0,0.0,0.0,0.0,5.0
828e6ffffffffff,3.0,0.0,0.0,0.0,3.0
828f57fffffffff,10.0,0.0,0.0,4.0,0.0
828f5ffffffffff,17.0,0.0,0.0,17.0,0.0
828f77fffffffff,2.0,0.0,0.0,0.0,0.0
