cell_id,Colaptes rivolii,Colaptes rivolii [rivolii Group],Colaptes rivolii atriceps
8466d31ffffffff,5.0,5.0,0.0
8466de1ffffffff,5.0,5.0,0.0
8466e43ffffffff,4.0,4.0,0.0
8466e67ffffffff,2.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0
848b617ffffffff,1.0,0.0,1.0
848b665ffffffff,2.0,0.0,0.0
848e6d9ffffffff,2.0,0.0,2.0
848f0dbffffffff,7.0,0.0,0.0
848f42dffffffff,2.0,2.0,0.0
848f547ffffffff,3.0,0.0,0.0
848f721ffffffff,4.0,4.0,0.0
848f733ffffffff,7.0,7.0,0.0
848f765ffffffff,2.0,0.0,0.0
84b3253ffffffff,1.0,0.0,1.0
