cell_id,Hypsipetes siquijorensis,Hypsipetes siquijorensis cinereiceps,Hypsipetes siquijorensis monticola,Hypsipetes siquijorensis siquijorensis
836844fffffffff,4.0,0.0,4.0,0.0
836846fffffffff,47.0,0.0,0.0,6.0
836959fffffffff,37.0,25.0,0.0,0.0
