cell_id,Pogoniulus coryphaea,Pogoniulus coryphaea coryphaea,Pogoniulus coryphaea hildamariae,Pogoniulus coryphaea angolensis
8458c3bffffffff,1.0,0.0,0.0,0.0
8458d0bffffffff,1.0,0.0,0.0,0.0
8458d13ffffffff,7.0,2.0,0.0,0.0
8458d1dffffffff,5.0,0.0,0.0,0.0
8458d33ffffffff,15.0,15.0,0.0,0.0
8458dcdffffffff,1.0,1.0,0.0,0.0
846ac07ffffffff,1.0,0.0,0.0,0.0
846ac27ffffffff,1.0,0.0,0.0,0.0
846ac39ffffffff,1.0,0.0,0.0,0.0
846ace5ffffffff,2.0,0.0,0.0,0.0
846adc1ffffffff,267.0,0.0,0.0,0.0
846adc5ffffffff,2.0,0.0,0.0,0.0
846adc9ffffffff,1.0,0.0,0.0,0.0
846ade5ffffffff,2.0,0.0,0.0,0.0
846ade7ffffffff,14.0,0.0,0.0,0.0
8482d07ffffffff,2.0,0.0,0.0,0.0
8482d23ffffffff,1.0,0.0,0.0,0.0
8482d27ffffffff,2.0,0.0,0.0,0.0
8482d3dffffffff,29.0,18.0,0.0,0.0
8483151ffffffff,1.0,0.0,0.0,1.0
848315bffffffff,1.0,0.0,0.0,0.0
8483263ffffffff,7.0,0.0,0.0,1.0
848332bffffffff,3.0,0.0,0.0,3.0
8483337ffffffff,5.0,0.0,0.0,3.0
848333dffffffff,9.0,0.0,0.0,1.0
8496d25ffffffff,1.0,0.0,0.0,0.0
8496d67ffffffff,1.0,0.0,0.0,0.0
