cell_id,Dicrurus balicassius,Dicrurus balicassius balicassius/abraensis,Dicrurus balicassius mirabilis
834a96fffffffff,1.0,0.0,0.0
836844fffffffff,26.0,0.0,17.0
836846fffffffff,140.0,0.0,80.0
836862fffffffff,69.0,0.0,46.0
836865fffffffff,34.0,22.0,0.0
836866fffffffff,20.0,0.0,9.0
836871fffffffff,21.0,0.0,7.0
836873fffffffff,2.0,0.0,2.0
836875fffffffff,58.0,0.0,48.0
836941fffffffff,10.0,0.0,0.0
836943fffffffff,602.0,67.0,0.0
836945fffffffff,4.0,2.0,0.0
83694afffffffff,14.0,1.0,0.0
83694bfffffffff,7.0,0.0,0.0
83694cfffffffff,4.0,0.0,0.0
83694efffffffff,569.0,41.0,0.0
836958fffffffff,57.0,1.0,0.0
836959fffffffff,6.0,0.0,0.0
83695cfffffffff,5.0,0.0,0.0
83695dfffffffff,16.0,0.0,0.0
836968fffffffff,3.0,2.0,0.0
836969fffffffff,1.0,0.0,0.0
83696afffffffff,2.0,2.0,0.0
83696bfffffffff,1.0,0.0,0.0
83696cfffffffff,2.0,0.0,0.0
83696dfffffffff,31.0,20.0,0.0
83696efffffffff,2.0,0.0,0.0
