cell_id,Microcerculus marginatus,Microcerculus marginatus luscinia,Microcerculus marginatus taeniatus/occidentalis,Microcerculus marginatus [marginatus Group]
82661ffffffffff,21.0,0.0,5.0,0.0
82662ffffffffff,3.0,0.0,0.0,0.0
826677fffffffff,1.0,0.0,0.0,0.0
8266a7fffffffff,12.0,0.0,0.0,0.0
8266b7fffffffff,23.0,9.0,0.0,0.0
8266d7fffffffff,6.0,0.0,0.0,0.0
8266dffffffffff,2.0,0.0,2.0,0.0
8266e7fffffffff,1.0,0.0,0.0,0.0
8266f7fffffffff,5.0,0.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0,0.0
82679ffffffffff,6.0,0.0,0.0,0.0
826d6ffffffffff,2.0,0.0,0.0,0.0
828a27fffffffff,2.0,0.0,0.0,2.0
828b47fffffffff,1.0,0.0,0.0,1.0
828b67fffffffff,25.0,0.0,0.0,25.0
828f47fffffffff,3.0,0.0,0.0,3.0
828f4ffffffffff,4.0,0.0,0.0,4.0
828f5ffffffffff,3.0,0.0,0.0,3.0
828f77fffffffff,2.0,0.0,0.0,2.0
