cell_id,Edolisoma holopolium,Edolisoma holopolium holopolium,Edolisoma holopolium pygmaeum
8476805ffffffff,1.0,0.0,0.0
8476809ffffffff,1.0,0.0,0.0
847680dffffffff,4.0,0.0,0.0
8476815ffffffff,3.0,0.0,0.0
84768abffffffff,2.0,0.0,0.0
84768e5ffffffff,1.0,0.0,0.0
84768edffffffff,1.0,0.0,0.0
84769d1ffffffff,11.0,0.0,0.0
849ed87ffffffff,1.0,0.0,0.0
849ed8dffffffff,2.0,0.0,0.0
849eda1ffffffff,1.0,0.0,0.0
849eda7ffffffff,13.0,0.0,0.0
849edebffffffff,21.0,0.0,0.0
