cell_id,Apalis cinerea,Apalis cinerea sclateri,Apalis cinerea grandis,Apalis cinerea cinerea/funebris
8258d7fffffffff,48.0,0.0,0.0,48.0
8258dffffffffff,10.0,0.0,0.0,2.0
826ac7fffffffff,77.0,0.0,0.0,9.0
826acffffffffff,2.0,0.0,0.0,0.0
826ad7fffffffff,3.0,0.0,0.0,0.0
826adffffffffff,606.0,0.0,0.0,49.0
826aeffffffffff,18.0,0.0,0.0,7.0
827a47fffffffff,448.0,0.0,0.0,6.0
827a4ffffffffff,136.0,0.0,0.0,0.0
827a6ffffffffff,184.0,0.0,0.0,0.0
8282d7fffffffff,83.0,67.0,0.0,0.0
828317fffffffff,1.0,0.0,1.0,0.0
828327fffffffff,4.0,0.0,0.0,0.0
828337fffffffff,17.0,0.0,5.0,0.0
829697fffffffff,12.0,0.0,0.0,0.0
