cell_id,Parabuteo unicinctus,Parabuteo unicinctus harrisi,Parabuteo unicinctus unicinctus
831941fffffffff,1.0,0.0,0.0
83194cfffffffff,2.0,0.0,0.0
831951fffffffff,2.0,0.0,0.0
832656fffffffff,23.0,0.0,0.0
832688fffffffff,1.0,0.0,0.0
83268cfffffffff,1.0,0.0,0.0
8326aafffffffff,103.0,6.0,0.0
8326c1fffffffff,8.0,0.0,0.0
8326c3fffffffff,2.0,0.0,0.0
8326c8fffffffff,38.0,2.0,0.0
8326cbfffffffff,10.0,0.0,0.0
8326d9fffffffff,2.0,0.0,0.0
8326dafffffffff,7.0,0.0,0.0
8326dbfffffffff,2.0,0.0,0.0
8326ddfffffffff,5.0,0.0,0.0
8326defffffffff,22.0,0.0,0.0
8326f1fffffffff,15.0,0.0,0.0
8326f2fffffffff,7.0,0.0,0.0
832898fffffffff,4.0,0.0,0.0
83289efffffffff,1.0,0.0,0.0
832986fffffffff,14.0,0.0,0.0
8329a0fffffffff,7.0,0.0,0.0
8329a1fffffffff,8.0,0.0,0.0
8329a3fffffffff,2.0,0.0,0.0
8329a4fffffffff,178.0,0.0,0.0
8329a5fffffffff,8.0,0.0,0.0
8329a6fffffffff,109.0,1.0,0.0
8329b0fffffffff,34.0,0.0,0.0
8329b1fffffffff,14.0,0.0,0.0
8329b3fffffffff,2.0,0.0,0.0
8329b4fffffffff,5.0,0.0,0.0
8329b5fffffffff,4.0,0.0,0.0
8329b6fffffffff,160.0,2.0,0.0
832a13fffffffff,5.0,0.0,0.0
832ab2fffffffff,1.0,0.0,0.0
83344cfffffffff,1.0,0.0,0.0
833825fffffffff,1.0,0.0,0.0
833901fffffffff,3.0,0.0,0.0
83390afffffffff,2.0,2.0,0.0
833915fffffffff,2.0,0.0,0.0
833918fffffffff,6.0,0.0,0.0
833919fffffffff,6.0,0.0,0.0
83391afffffffff,4.0,0.0,0.0
83395cfffffffff,2.0,0.0,0.0
833973fffffffff,3.0,0.0,0.0
834445fffffffff,60.0,0.0,0.0
834450fffffffff,15.0,0.0,0.0
834463fffffffff,5.0,0.0,0.0
834469fffffffff,1.0,0.0,0.0
83446cfffffffff,38.0,4.0,0.0
83446dfffffffff,2.0,0.0,0.0
83446efffffffff,2.0,0.0,0.0
834530fffffffff,1.0,0.0,0.0
83484afffffffff,5.0,0.0,0.0
