cell_id,Motacilla tschutschensis,Motacilla tschutschensis tschutschensis/plexa,Motacilla tschutschensis taivana,Motacilla tschutschensis macronyx
836011fffffffff,6.0,0.0,0.0,0.0
836014fffffffff,27.0,0.0,0.0,0.0
836015fffffffff,3.0,0.0,0.0,0.0
836016fffffffff,62.0,0.0,0.0,0.0
83601efffffffff,3.0,0.0,0.0,0.0
836022fffffffff,2.0,0.0,0.0,0.0
836031fffffffff,5.0,0.0,0.0,0.0
836032fffffffff,1.0,0.0,0.0,0.0
836033fffffffff,6.0,0.0,0.0,0.0
836088fffffffff,1.0,0.0,0.0,0.0
83608bfffffffff,2.0,0.0,0.0,0.0
836090fffffffff,1.0,0.0,0.0,0.0
83609efffffffff,3.0,0.0,0.0,0.0
8360a0fffffffff,7.0,0.0,0.0,0.0
8360a9fffffffff,1.0,0.0,0.0,0.0
8360aafffffffff,1.0,0.0,0.0,0.0
8360acfffffffff,3.0,3.0,0.0,0.0
8360adfffffffff,2.0,0.0,0.0,0.0
8360b1fffffffff,6.0,0.0,0.0,0.0
836102fffffffff,3.0,0.0,0.0,0.0
836106fffffffff,4.0,0.0,0.0,0.0
83611cfffffffff,157.0,0.0,0.0,2.0
83611efffffffff,4.0,0.0,0.0,0.0
836189fffffffff,38.0,0.0,0.0,0.0
83618cfffffffff,36.0,0.0,0.0,0.0
83618dfffffffff,1.0,0.0,0.0,0.0
83618efffffffff,2.0,0.0,0.0,0.0
836198fffffffff,1.0,0.0,0.0,0.0
83619afffffffff,4.0,0.0,0.0,0.0
83640afffffffff,90.0,0.0,0.0,0.0
83640bfffffffff,27.0,0.0,0.0,0.0
83641bfffffffff,8.0,0.0,0.0,0.0
836428fffffffff,31.0,0.0,0.0,0.0
836481fffffffff,3.0,0.0,0.0,3.0
836482fffffffff,6.0,6.0,0.0,0.0
83648cfffffffff,1.0,0.0,0.0,0.0
836491fffffffff,1.0,0.0,1.0,0.0
8364a4fffffffff,7.0,2.0,0.0,1.0
8364b6fffffffff,1.0,0.0,1.0,0.0
8364e4fffffffff,734.0,9.0,0.0,0.0
8364e6fffffffff,8.0,0.0,0.0,0.0
836501fffffffff,19.0,0.0,0.0,0.0
836503fffffffff,33.0,0.0,0.0,1.0
836518fffffffff,46.0,0.0,0.0,0.0
836519fffffffff,1.0,0.0,0.0,0.0
83651dfffffffff,46.0,0.0,0.0,0.0
836520fffffffff,146.0,3.0,0.0,2.0
836523fffffffff,11.0,0.0,0.0,0.0
836526fffffffff,22.0,1.0,0.0,0.0
836531fffffffff,8.0,0.0,0.0,0.0
836580fffffffff,2.0,2.0,0.0,0.0
836582fffffffff,2.0,0.0,2.0,0.0
836585fffffffff,1.0,0.0,0.0,0.0
83658bfffffffff,3.0,0.0,0.0,0.0
836599fffffffff,4.0,0.0,0.0,1.0
83659cfffffffff,2.0,0.0,2.0,0.0
836802fffffffff,4.0,0.0,0.0,0.0
836828fffffffff,2.0,0.0,1.0,0.0
83682bfffffffff,3.0,0.0,0.0,0.0
836843fffffffff,4.0,0.0,0.0,0.0
836845fffffffff,1.0,0.0,0.0,0.0
83684efffffffff,6.0,0.0,0.0,0.0
836858fffffffff,4.0,0.0,0.0,0.0
8368f6fffffffff,1.0,0.0,0.0,0.0
836941fffffffff,5.0,0.0,0.0,0.0
83694efffffffff,12.0,0.0,0.0,0.0
