cell_id,Paroaria baeri,Paroaria baeri baeri,Paroaria baeri xinguensis
828147fffffffff,24.0,13.0,0.0
828167fffffffff,147.0,50.0,0.0
82a85ffffffffff,6.0,0.0,0.0
82a8cffffffffff,25.0,6.0,0.0
