cell_id,Falco sparverius,Falco sparverius [sparverius Group],Falco sparverius paulus,Falco sparverius caribaearum,Falco sparverius dominicensis,Falco sparverius sparverioides,Falco sparverius [cinnamominus Group],Falco sparverius fernandensis
830c41fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830c45fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830c64fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830c71fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830ce9fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830d03fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830d59fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830d5afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830d5bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830d62fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830d66fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830e45fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830ec5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830ec8fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830ec9fffffffff,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
830ecafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830ecbfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830ecdfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831251fffffffff,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
831252fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831253fffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83125bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831288fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
831289fffffffff,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
83128afffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83128bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83128efffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312a2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312b0fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312c0fffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8312c1fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8312c8fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312c9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312cafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312cdfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312cefffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d0fffffffff,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d3fffffffff,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d5fffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d6fffffffff,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d9fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8312defffffffff,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8312e1fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312eafffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312ebfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312f0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312f1fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
831383fffffffff,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83138dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831391fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83139efffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8313b3fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831a84fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831aa0fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831aa2fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831aa3fffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831aa4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831aa6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831aadfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831ab0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831b83fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831b99fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831b9afffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831b9bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831b9efffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832609fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83260efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832613fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832624fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832625fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832626fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832640fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832642fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832644fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832646fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832648fffffffff,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832649fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83264afffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83264bfffffffff,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83264cfffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83264dfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83264efffffffff,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832651fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832652fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832655fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832656fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832659fffffffff,14.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
83265afffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83265bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
