cell_id,Tychaedon leucosticta,Tychaedon leucosticta [leucosticta Group],Tychaedon leucosticta reichenowi
8354ccfffffffff,3.0,0.0,0.0
835896fffffffff,3.0,0.0,0.0
836a14fffffffff,2.0,0.0,0.0
837501fffffffff,1.0,0.0,0.0
837508fffffffff,17.0,0.0,0.0
83750dfffffffff,10.0,0.0,0.0
837518fffffffff,1.0,0.0,0.0
837529fffffffff,35.0,0.0,0.0
83752afffffffff,12.0,0.0,0.0
83752efffffffff,1.0,0.0,0.0
8375a3fffffffff,2.0,0.0,0.0
8375a8fffffffff,6.0,0.0,0.0
8375abfffffffff,1.0,0.0,0.0
8375b0fffffffff,9.0,0.0,0.0
838311fffffffff,10.0,0.0,1.0
838313fffffffff,3.0,0.0,0.0
838315fffffffff,27.0,0.0,7.0
83831efffffffff,3.0,0.0,0.0
8383a8fffffffff,2.0,0.0,0.0
8383acfffffffff,5.0,0.0,0.0
8383adfffffffff,8.0,0.0,0.0
839666fffffffff,1.0,0.0,0.0
