cell_id,Campylorhynchus turdinus,Campylorhynchus turdinus turdinus/hypostictus,Campylorhynchus turdinus unicolor
84665bdffffffff,1.0,0.0,0.0
8466debffffffff,7.0,7.0,0.0
8466e15ffffffff,4.0,0.0,0.0
8466e59ffffffff,1.0,0.0,0.0
848a451ffffffff,4.0,0.0,0.0
848b0bdffffffff,1.0,0.0,0.0
848b22dffffffff,2.0,0.0,0.0
848b63bffffffff,6.0,6.0,0.0
84a8917ffffffff,3.0,3.0,0.0
84a9467ffffffff,2.0,0.0,0.0
84a953bffffffff,5.0,0.0,0.0
84a955bffffffff,2.0,0.0,0.0
84a95edffffffff,4.0,0.0,0.0
84a9617ffffffff,28.0,0.0,0.0
84a9653ffffffff,17.0,0.0,0.0
84b343bffffffff,3.0,0.0,0.0
84b34d9ffffffff,13.0,0.0,0.0
84c2c97ffffffff,4.0,0.0,0.0
