cell_id,Jacana jacana,Jacana jacana hypomelaena,Jacana jacana [jacana Group]
835e5dfffffffff,2.0,0.0,0.0
835e66fffffffff,11.0,0.0,0.0
835f09fffffffff,2.0,0.0,2.0
835f1cfffffffff,1.0,0.0,1.0
835f58fffffffff,9.0,0.0,7.0
835f5bfffffffff,5.0,0.0,0.0
836611fffffffff,2.0,2.0,0.0
836612fffffffff,2.0,0.0,0.0
836620fffffffff,2.0,0.0,0.0
836622fffffffff,6.0,6.0,0.0
836631fffffffff,2.0,0.0,0.0
836656fffffffff,2.0,0.0,0.0
836675fffffffff,2.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366a3fffffffff,8.0,0.0,0.0
8366b0fffffffff,3.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,49.0,4.0,0.0
8366b5fffffffff,32.0,0.0,0.0
8366c2fffffffff,1.0,0.0,0.0
8366c3fffffffff,1.0,0.0,0.0
8366dcfffffffff,1.0,0.0,0.0
8366e3fffffffff,1.0,0.0,1.0
8366e5fffffffff,3.0,0.0,3.0
8366e6fffffffff,2.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0
836742fffffffff,13.0,0.0,2.0
836743fffffffff,8.0,0.0,3.0
836746fffffffff,27.0,0.0,0.0
83674cfffffffff,6.0,0.0,0.0
83674efffffffff,3.0,0.0,0.0
836759fffffffff,2.0,0.0,2.0
83675bfffffffff,5.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0
836769fffffffff,2.0,0.0,0.0
83679bfffffffff,4.0,0.0,0.0
83814efffffffff,2.0,0.0,2.0
838a2efffffffff,2.0,0.0,1.0
838a45fffffffff,3.0,0.0,0.0
838aabfffffffff,2.0,0.0,0.0
838af4fffffffff,2.0,0.0,1.0
838b08fffffffff,3.0,0.0,0.0
838b22fffffffff,7.0,0.0,7.0
838b61fffffffff,4.0,0.0,0.0
838b71fffffffff,2.0,0.0,2.0
838b72fffffffff,6.0,0.0,0.0
838b74fffffffff,5.0,0.0,0.0
838f09fffffffff,2.0,0.0,0.0
838f40fffffffff,9.0,0.0,9.0
838f46fffffffff,5.0,0.0,5.0
838f4cfffffffff,7.0,0.0,0.0
83a918fffffffff,1.0,0.0,0.0
83a91dfffffffff,2.0,0.0,0.0
83a92cfffffffff,1.0,0.0,0.0
83a941fffffffff,1.0,0.0,0.0
83a953fffffffff,2.0,0.0,2.0
83a960fffffffff,3.0,0.0,3.0
83a961fffffffff,73.0,0.0,0.0
83a965fffffffff,31.0,0.0,0.0
83a96afffffffff,6.0,0.0,0.0
83a96cfffffffff,33.0,0.0,0.0
83a96efffffffff,1.0,0.0,0.0
83b248fffffffff,3.0,0.0,0.0
83b249fffffffff,49.0,0.0,0.0
83b24afffffffff,1.0,0.0,0.0
83b24bfffffffff,2.0,0.0,0.0
83b24dfffffffff,553.0,0.0,0.0
83b24efffffffff,1.0,0.0,0.0
83b25cfffffffff,10.0,0.0,0.0
83b25dfffffffff,2.0,0.0,0.0
83b262fffffffff,4.0,0.0,0.0
83b268fffffffff,47.0,0.0,0.0
83b269fffffffff,117.0,0.0,0.0
83b26bfffffffff,95.0,0.0,0.0
83b26dfffffffff,122.0,0.0,0.0
83b26efffffffff,2.0,0.0,0.0
83b2c5fffffffff,1.0,0.0,0.0
83b366fffffffff,3.0,0.0,0.0
83c2c5fffffffff,13.0,0.0,5.0
83c2c9fffffffff,193.0,0.0,0.0
83c2cbfffffffff,2.0,0.0,0.0
83c2cdfffffffff,223.0,0.0,0.0
83c2d0fffffffff,11.0,0.0,0.0
83c2d5fffffffff,1.0,0.0,0.0
83c2ddfffffffff,2.0,0.0,0.0
83c2e0fffffffff,3.0,0.0,0.0
83c2e2fffffffff,3.0,0.0,3.0
83c2e3fffffffff,13.0,0.0,4.0
83c2e9fffffffff,15.0,0.0,0.0
83c2ebfffffffff,20.0,0.0,0.0
83c2f1fffffffff,3.0,0.0,0.0
83c2f3fffffffff,8.0,0.0,0.0
83c34bfffffffff,4.0,0.0,0.0
83ce93fffffffff,11.0,0.0,0.0
