cell_id,Muscicapa sibirica,Muscicapa sibirica sibirica,Muscicapa sibirica [cacabata Group]
840a337ffffffff,2.0,0.0,0.0
8414ae5ffffffff,2.0,0.0,0.0
8415885ffffffff,2.0,0.0,0.0
8415889ffffffff,4.0,0.0,0.0
8415923ffffffff,2.0,0.0,0.0
8415929ffffffff,4.0,0.0,0.0
841592bffffffff,1.0,0.0,0.0
8415b07ffffffff,2.0,0.0,0.0
8416161ffffffff,7.0,0.0,0.0
84171a7ffffffff,10.0,0.0,0.0
84209a3ffffffff,4.0,0.0,0.0
84209a5ffffffff,18.0,0.0,0.0
84209a9ffffffff,1.0,0.0,0.0
84209b5ffffffff,6.0,0.0,0.0
84209b7ffffffff,4.0,0.0,0.0
84209bdffffffff,1.0,0.0,0.0
84209c7ffffffff,25.0,0.0,0.0
8424001ffffffff,1.0,0.0,0.0
842400dffffffff,1.0,0.0,0.0
8424047ffffffff,1.0,0.0,0.0
842408bffffffff,1.0,0.0,0.0
84240adffffffff,2.0,0.0,0.0
84240e1ffffffff,1.0,0.0,0.0
8424213ffffffff,1.0,0.0,0.0
8424299ffffffff,1.0,0.0,0.0
84242b3ffffffff,2.0,0.0,0.0
8424357ffffffff,1.0,0.0,0.0
84244b1ffffffff,11.0,0.0,0.0
84244c1ffffffff,6.0,0.0,0.0
8424505ffffffff,2.0,0.0,0.0
842450dffffffff,3.0,0.0,0.0
842451dffffffff,20.0,0.0,0.0
8424567ffffffff,5.0,0.0,0.0
842460dffffffff,33.0,0.0,0.0
842462bffffffff,2.0,0.0,0.0
8424631ffffffff,1.0,0.0,0.0
842469bffffffff,1.0,0.0,0.0
84246ddffffffff,1.0,0.0,0.0
8424749ffffffff,2.0,0.0,0.0
8425409ffffffff,6.0,0.0,0.0
8425463ffffffff,5.0,0.0,0.0
8425465ffffffff,14.0,0.0,0.0
8425467ffffffff,3.0,0.0,0.0
8425469ffffffff,3.0,0.0,0.0
84255a3ffffffff,10.0,0.0,0.0
84255a7ffffffff,4.0,0.0,0.0
84255b1ffffffff,2.0,0.0,0.0
84255b5ffffffff,7.0,0.0,0.0
84255b7ffffffff,2.0,0.0,0.0
84255bdffffffff,2.0,0.0,0.0
842e0d7ffffffff,2.0,0.0,0.0
842e191ffffffff,1.0,0.0,0.0
842e1a5ffffffff,3.0,0.0,0.0
842e1adffffffff,4.0,0.0,0.0
842e1b5ffffffff,1.0,0.0,0.0
842e615ffffffff,1.0,0.0,0.0
842e689ffffffff,11.0,0.0,0.0
842e745ffffffff,3.0,0.0,0.0
842e881ffffffff,3.0,0.0,0.0
842eacbffffffff,2.0,0.0,0.0
842eacdffffffff,3.0,0.0,0.0
842ead1ffffffff,2.0,0.0,0.0
842ead9ffffffff,1.0,0.0,0.0
842ec03ffffffff,2.0,0.0,0.0
842ecb9ffffffff,2.0,0.0,0.0
842ecdbffffffff,7.0,0.0,0.0
842edc7ffffffff,3.0,0.0,0.0
842ef47ffffffff,1.0,0.0,0.0
842f5a3ffffffff,3.0,0.0,0.0
842f5b9ffffffff,2.0,0.0,0.0
842f5bbffffffff,5.0,0.0,0.0
842f5bdffffffff,1.0,0.0,0.0
843000dffffffff,2.0,0.0,0.0
8430067ffffffff,1.0,0.0,0.0
8430165ffffffff,1.0,0.0,0.0
843020bffffffff,1.0,0.0,0.0
84302b7ffffffff,9.0,0.0,0.0
8430305ffffffff,4.0,0.0,0.0
843030dffffffff,1.0,0.0,0.0
8430325ffffffff,10.0,0.0,0.0
843032dffffffff,4.0,0.0,0.0
8430833ffffffff,27.0,0.0,0.0
8430929ffffffff,1.0,0.0,0.0
8430981ffffffff,3.0,0.0,0.0
8430991ffffffff,1.0,0.0,0.0
8430995ffffffff,22.0,0.0,0.0
84309a3ffffffff,1.0,0.0,0.0
84309a5ffffffff,15.0,0.0,0.0
84309b3ffffffff,5.0,0.0,0.0
84309b9ffffffff,21.0,0.0,0.0
84309bdffffffff,5.0,1.0,0.0
84309d3ffffffff,8.0,0.0,0.0
84309d9ffffffff,77.0,0.0,0.0
8430a13ffffffff,1.0,0.0,0.0
8430c4dffffffff,3.0,0.0,0.0
8430c5dffffffff,2.0,0.0,0.0
8430db1ffffffff,1.0,0.0,0.0
8430e09ffffffff,1.0,0.0,0.0
8430e0bffffffff,6.0,0.0,0.0
