cell_id,Asthenes wyatti,Asthenes wyatti [wyatti Group],Asthenes wyatti [sclateri Group]
82660ffffffffff,30.0,30.0,0.0
826627fffffffff,338.0,333.0,0.0
82662ffffffffff,59.0,59.0,0.0
8266d7fffffffff,106.0,105.0,0.0
8266dffffffffff,231.0,230.0,0.0
8266e7fffffffff,5.0,5.0,0.0
828b27fffffffff,8.0,0.0,8.0
828b2ffffffffff,25.0,0.0,25.0
828b67fffffffff,185.0,173.0,10.0
828b6ffffffffff,60.0,60.0,0.0
828b77fffffffff,2.0,2.0,0.0
828e67fffffffff,113.0,111.0,0.0
828e6ffffffffff,54.0,52.0,0.0
828f2ffffffffff,18.0,18.0,0.0
828f57fffffffff,22.0,20.0,0.0
828f5ffffffffff,13.0,13.0,0.0
828f77fffffffff,39.0,35.0,0.0
82b247fffffffff,32.0,0.0,32.0
82b25ffffffffff,302.0,0.0,297.0
82b277fffffffff,8.0,0.0,8.0
82b2e7fffffffff,4.0,0.0,4.0
82b2effffffffff,17.0,0.0,16.0
82b30ffffffffff,1.0,0.0,1.0
82b327fffffffff,61.0,12.0,49.0
82b32ffffffffff,17.0,0.0,16.0
82b337fffffffff,70.0,0.0,70.0
82b347fffffffff,25.0,0.0,24.0
82b357fffffffff,16.0,0.0,16.0
82b35ffffffffff,272.0,0.0,270.0
82b377fffffffff,15.0,0.0,15.0
