cell_id,Otidiphaps nobilis,Otidiphaps nobilis nobilis,Otidiphaps nobilis aruensis,Otidiphaps nobilis cervicalis,Otidiphaps nobilis insularis
837284fffffffff,1.0,0.0,0.0,0.0,0.0
8372a2fffffffff,19.0,0.0,0.0,0.0,0.0
8372d2fffffffff,5.0,0.0,0.0,0.0,0.0
8372d3fffffffff,1.0,0.0,0.0,0.0,0.0
83739afffffffff,9.0,0.0,0.0,0.0,0.0
83739bfffffffff,32.0,0.0,0.0,0.0,0.0
839c85fffffffff,6.0,0.0,0.0,0.0,0.0
839c8afffffffff,2.0,0.0,0.0,0.0,0.0
839c8bfffffffff,11.0,0.0,0.0,0.0,0.0
839c8efffffffff,1.0,0.0,0.0,0.0,0.0
839c9dfffffffff,9.0,0.0,0.0,0.0,0.0
839caefffffffff,126.0,0.0,0.0,8.0,0.0
839cb5fffffffff,4.0,0.0,0.0,0.0,0.0
839cd2fffffffff,1.0,0.0,0.0,0.0,0.0
839d9bfffffffff,1.0,0.0,0.0,0.0,0.0
