cell_id,Urolais epichlorus,Urolais epichlorus epichlorus,Urolais epichlorus mariae
8458c27ffffffff,1.0,0.0,0.0
8458d13ffffffff,8.0,0.0,0.0
8458d31ffffffff,2.0,2.0,0.0
8458d33ffffffff,37.0,35.0,0.0
8458d37ffffffff,14.0,13.0,0.0
8458dcdffffffff,1.0,0.0,0.0
8482d03ffffffff,10.0,0.0,7.0
8482d1dffffffff,7.0,0.0,4.0
8482d27ffffffff,11.0,1.0,0.0
8482d3dffffffff,69.0,34.0,0.0
