cell_id,Ispidina picta,Ispidina picta picta/ferrugina,Ispidina picta natalensis
8354c4fffffffff,2.0,0.0,0.0
8354e3fffffffff,2.0,0.0,0.0
8354eafffffffff,2.0,0.0,0.0
8354f4fffffffff,3.0,0.0,0.0
836ac3fffffffff,1.0,1.0,0.0
837a41fffffffff,1.0,1.0,0.0
837a45fffffffff,6.0,0.0,0.0
837a4cfffffffff,2.0,1.0,0.0
837a6efffffffff,9.0,0.0,0.0
837b4afffffffff,33.0,0.0,2.0
837b4cfffffffff,8.0,0.0,1.0
837b4efffffffff,1.0,0.0,1.0
839600fffffffff,1.0,0.0,0.0
839602fffffffff,2.0,0.0,0.0
839751fffffffff,2.0,0.0,0.0
83bc19fffffffff,1.0,0.0,0.0
83bcf2fffffffff,1.0,0.0,1.0
