cell_id,Leistes loyca,Leistes loyca obscurus,Leistes loyca [loyca Group]
83b219fffffffff,2.0,0.0,0.0
83b226fffffffff,14.0,0.0,0.0
83b243fffffffff,3.0,0.0,0.0
83b25cfffffffff,2.0,0.0,0.0
83b2c0fffffffff,4.0,0.0,0.0
83b2c4fffffffff,14.0,0.0,0.0
83b2c5fffffffff,109.0,0.0,0.0
83b2e2fffffffff,4.0,0.0,0.0
83b2e3fffffffff,1.0,0.0,0.0
83b35efffffffff,3.0,0.0,0.0
83c218fffffffff,9.0,0.0,0.0
83c36cfffffffff,1.0,0.0,0.0
83cf91fffffffff,4.0,0.0,0.0
83cf94fffffffff,2.0,0.0,0.0
83cfa2fffffffff,2.0,0.0,0.0
83de71fffffffff,1.0,0.0,0.0
83df68fffffffff,3.0,0.0,0.0
83df69fffffffff,5.0,0.0,0.0
83df6dfffffffff,2.0,0.0,0.0
