cell_id,Cyrtonyx montezumae,Cyrtonyx montezumae [montezumae Group],Cyrtonyx montezumae sallei/rowleyi
834883fffffffff,2.0,0.0,0.0
83488dfffffffff,2.0,0.0,0.0
83488efffffffff,10.0,0.0,0.0
8348c5fffffffff,7.0,0.0,0.0
8348ccfffffffff,10.0,4.0,0.0
8348cdfffffffff,6.0,0.0,0.0
8348d4fffffffff,13.0,1.0,0.0
8348ddfffffffff,7.0,0.0,0.0
8348e3fffffffff,2.0,0.0,0.0
8348e8fffffffff,43.0,2.0,0.0
8348eafffffffff,5.0,0.0,0.0
8348ecfffffffff,21.0,0.0,0.0
8348eefffffffff,97.0,3.0,0.0
8348f2fffffffff,11.0,6.0,0.0
8348f6fffffffff,1.0,0.0,0.0
834983fffffffff,16.0,0.0,0.0
834986fffffffff,2.0,0.0,0.0
83498dfffffffff,2.0,0.0,0.0
834995fffffffff,28.0,0.0,0.0
8349b2fffffffff,1.0,0.0,0.0
8349b3fffffffff,2.0,0.0,0.0
836d30fffffffff,5.0,0.0,0.0
836d32fffffffff,3.0,0.0,2.0
836d33fffffffff,4.0,0.0,4.0
