cell_id,Troglodytes martinicensis,Troglodytes martinicensis guadeloupensis,Troglodytes martinicensis rufescens,Troglodytes martinicensis martinicensis
845e42bffffffff,1.0,0.0,1.0,0.0
845e43dffffffff,9.0,0.0,9.0,0.0
845e5d9ffffffff,1.0,1.0,0.0,0.0
