cell_id,Sturnella magna,Sturnella magna hippocrepis,Sturnella magna [magna Group]
822607fffffffff,99.0,0.0,18.0
82260ffffffffff,3927.0,0.0,54.0
822617fffffffff,67.0,0.0,6.0
82261ffffffffff,306.0,0.0,8.0
822627fffffffff,1257.0,0.0,19.0
82262ffffffffff,2179.0,0.0,21.0
822647fffffffff,7609.0,0.0,319.0
82264ffffffffff,9208.0,0.0,193.0
822657fffffffff,19884.0,0.0,129.0
82265ffffffffff,8856.0,0.0,142.0
822667fffffffff,15939.0,0.0,2349.0
82266ffffffffff,9364.0,0.0,663.0
822677fffffffff,3986.0,0.0,118.0
8226affffffffff,33.0,0.0,0.0
8226c7fffffffff,4130.0,0.0,37.0
8226cffffffffff,7634.0,0.0,0.0
8226d7fffffffff,146.0,0.0,0.0
8226dffffffffff,1750.0,0.0,0.0
8226e7fffffffff,13159.0,0.0,247.0
8226effffffffff,6288.0,0.0,55.0
8226f7fffffffff,786.0,0.0,26.0
82270ffffffffff,214.0,0.0,8.0
822747fffffffff,3113.0,0.0,37.0
82274ffffffffff,10785.0,0.0,4.0
822757fffffffff,2452.0,0.0,197.0
82275ffffffffff,16689.0,0.0,355.0
822767fffffffff,540.0,0.0,32.0
82276ffffffffff,4414.0,0.0,426.0
822777fffffffff,24.0,0.0,0.0
822a07fffffffff,89.0,0.0,31.0
822a17fffffffff,6838.0,0.0,455.0
822a37fffffffff,5076.0,0.0,574.0
822a87fffffffff,8915.0,0.0,395.0
822a8ffffffffff,17084.0,0.0,927.0
822a97fffffffff,12704.0,0.0,19.0
822a9ffffffffff,4532.0,0.0,131.0
822aa7fffffffff,10486.0,0.0,1692.0
822aaffffffffff,29357.0,0.0,2344.0
822ab7fffffffff,11582.0,0.0,202.0
822ad7fffffffff,3731.0,0.0,4.0
822af7fffffffff,13054.0,0.0,322.0
822b17fffffffff,28.0,0.0,0.0
822b1ffffffffff,170.0,0.0,0.0
822b87fffffffff,4885.0,0.0,288.0
822b8ffffffffff,9831.0,0.0,1446.0
822b97fffffffff,117.0,0.0,42.0
822b9ffffffffff,20980.0,0.0,1803.0
822baffffffffff,3157.0,0.0,6.0
824417fffffffff,4072.0,0.0,64.0
82441ffffffffff,4973.0,0.0,135.0
824437fffffffff,716.0,426.0,0.0
824447fffffffff,9883.0,0.0,0.0
82444ffffffffff,3097.0,0.0,9.0
824457fffffffff,3430.0,0.0,63.0
82445ffffffffff,1928.0,0.0,82.0
824467fffffffff,1388.0,0.0,0.0
82446ffffffffff,22878.0,0.0,549.0
824477fffffffff,1397.0,0.0,0.0
8244a7fffffffff,3593.0,0.0,334.0
8244affffffffff,16336.0,0.0,933.0
8244c7fffffffff,5816.0,0.0,533.0
8244cffffffffff,9781.0,0.0,333.0
8244d7fffffffff,4928.0,0.0,126.0
8244dffffffffff,8761.0,0.0,323.0
8244e7fffffffff,1830.0,0.0,115.0
8244effffffffff,2961.0,0.0,131.0
8244f7fffffffff,2809.0,0.0,66.0
824507fffffffff,140.0,0.0,10.0
82450ffffffffff,256.0,0.0,39.0
82451ffffffffff,1.0,0.0,0.0
824527fffffffff,1715.0,0.0,39.0
82452ffffffffff,6685.0,0.0,244.0
824537fffffffff,359.0,0.0,0.0
824577fffffffff,33.0,0.0,0.0
824587fffffffff,101.0,88.0,0.0
82458ffffffffff,690.0,418.0,0.0
824597fffffffff,317.0,192.0,0.0
82459ffffffffff,232.0,146.0,0.0
824887fffffffff,2192.0,0.0,0.0
82488ffffffffff,115.0,0.0,0.0
824897fffffffff,13780.0,0.0,104.0
82489ffffffffff,6581.0,0.0,0.0
8248a7fffffffff,274.0,0.0,0.0
8248b7fffffffff,14297.0,0.0,0.0
8248d7fffffffff,1.0,0.0,0.0
824997fffffffff,224.0,0.0,29.0
82499ffffffffff,213.0,0.0,0.0
