cell_id,Anthus gustavi,Anthus gustavi gustavi/stejnegeri,Anthus gustavi menzbieri
830d93fffffffff,1.0,0.0,0.0
8314aefffffffff,24.0,0.0,23.0
8314ccfffffffff,1.0,0.0,0.0
831592fffffffff,2.0,0.0,0.0
831601fffffffff,11.0,0.0,0.0
83160cfffffffff,14.0,0.0,0.0
83160efffffffff,1.0,0.0,0.0
831610fffffffff,5.0,0.0,0.0
831634fffffffff,6.0,0.0,0.0
831756fffffffff,2.0,0.0,0.0
83176bfffffffff,2.0,0.0,0.0
83178bfffffffff,2.0,0.0,0.0
832ecbfffffffff,3.0,0.0,0.0
833000fffffffff,2.0,0.0,0.0
833019fffffffff,16.0,0.0,0.0
83302bfffffffff,6.0,0.0,0.0
83302dfffffffff,1.0,0.0,0.0
833030fffffffff,3.0,0.0,0.0
833032fffffffff,7.0,0.0,0.0
833083fffffffff,3.0,0.0,0.0
833098fffffffff,2.0,0.0,0.0
833099fffffffff,1.0,0.0,0.0
83309afffffffff,7.0,0.0,0.0
83309bfffffffff,38.0,0.0,0.0
83309dfffffffff,7.0,0.0,0.0
8330c1fffffffff,2.0,0.0,0.0
8330c4fffffffff,3.0,0.0,0.0
8330e0fffffffff,2.0,0.0,0.0
8330e2fffffffff,15.0,0.0,0.0
8330e3fffffffff,2.0,0.0,0.0
8330e5fffffffff,5.0,0.0,0.0
83312efffffffff,2.0,0.0,0.0
83316efffffffff,3.0,0.0,0.0
833188fffffffff,2.0,0.0,0.0
83318dfffffffff,15.0,0.0,0.0
8331aafffffffff,2.0,0.0,0.0
834103fffffffff,2.0,0.0,0.0
83411cfffffffff,31.0,0.0,0.0
8341a0fffffffff,1.0,0.0,0.0
8341a4fffffffff,9.0,0.0,0.0
8341a5fffffffff,25.0,0.0,0.0
8341b2fffffffff,3.0,0.0,0.0
8341b4fffffffff,37.0,0.0,0.0
8341b5fffffffff,4.0,0.0,0.0
8341b6fffffffff,1.0,0.0,0.0
834b12fffffffff,4.0,0.0,0.0
834b30fffffffff,3.0,0.0,0.0
834b34fffffffff,1.0,0.0,0.0
834b84fffffffff,5.0,0.0,0.0
834b86fffffffff,258.0,0.0,0.0
834b91fffffffff,1.0,0.0,0.0
834ba0fffffffff,71.0,0.0,0.0
834ba1fffffffff,184.0,0.0,0.0
834ba2fffffffff,10.0,0.0,0.0
834ba3fffffffff,24.0,0.0,0.0
834ba5fffffffff,37.0,0.0,0.0
834ba6fffffffff,1.0,0.0,0.0
834bb1fffffffff,70.0,0.0,0.0
834bb5fffffffff,103.0,0.0,0.0
836828fffffffff,8.0,0.0,0.0
836856fffffffff,15.0,0.0,0.0
83685cfffffffff,1.0,0.0,0.0
836862fffffffff,6.0,0.0,0.0
836865fffffffff,2.0,0.0,0.0
836871fffffffff,3.0,0.0,0.0
83694efffffffff,66.0,0.0,0.0
836958fffffffff,2.0,0.0,0.0
83696afffffffff,5.0,0.0,0.0
