cell_id,Tachyspiza hiogaster,Tachyspiza hiogaster sylvestris,Tachyspiza hiogaster [hiogaster Group]
82728ffffffffff,4.0,0.0,0.0
827297fffffffff,29.0,0.0,2.0
8272a7fffffffff,51.0,0.0,6.0
8272affffffffff,28.0,0.0,9.0
8272b7fffffffff,1.0,0.0,0.0
8272cffffffffff,5.0,0.0,0.0
8272d7fffffffff,93.0,0.0,2.0
8272dffffffffff,26.0,0.0,0.0
8272f7fffffffff,92.0,0.0,8.0
827397fffffffff,106.0,0.0,9.0
82739ffffffffff,180.0,0.0,46.0
827687fffffffff,4.0,0.0,0.0
82769ffffffffff,12.0,0.0,0.0
829427fffffffff,3.0,1.0,0.0
829467fffffffff,32.0,0.0,3.0
829517fffffffff,3.0,0.0,0.0
82951ffffffffff,65.0,9.0,0.0
829547fffffffff,17.0,0.0,2.0
82954ffffffffff,2.0,0.0,0.0
829567fffffffff,2.0,0.0,0.0
82956ffffffffff,50.0,0.0,3.0
8295a7fffffffff,9.0,1.0,0.0
829c87fffffffff,8.0,0.0,0.0
829c8ffffffffff,6.0,0.0,0.0
829c97fffffffff,202.0,0.0,0.0
829c9ffffffffff,9.0,0.0,0.0
829ca7fffffffff,24.0,0.0,0.0
829caffffffffff,93.0,0.0,7.0
829cb7fffffffff,6.0,0.0,0.0
829cc7fffffffff,6.0,0.0,0.0
829cd7fffffffff,82.0,0.0,3.0
829ed7fffffffff,1.0,0.0,0.0
829edffffffffff,15.0,0.0,0.0
