cell_id,Prinia bairdii,Prinia bairdii bairdii/heinrichi,Prinia bairdii melanops/obscura
8358c8fffffffff,1.0,0.0,0.0
8358d1fffffffff,1.0,0.0,0.0
8358d3fffffffff,48.0,47.0,0.0
8358dbfffffffff,3.0,0.0,0.0
836ac0fffffffff,49.0,11.0,4.0
836ac1fffffffff,13.0,0.0,0.0
836ac5fffffffff,5.0,0.0,4.0
836ad1fffffffff,1.0,0.0,0.0
836adafffffffff,4.0,0.0,0.0
836adcfffffffff,578.0,21.0,75.0
836adefffffffff,110.0,0.0,31.0
836aeafffffffff,1.0,0.0,0.0
837a48fffffffff,3.0,0.0,0.0
837a4cfffffffff,175.0,0.0,20.0
837a4dfffffffff,32.0,0.0,3.0
837a6bfffffffff,8.0,0.0,1.0
838212fffffffff,6.0,0.0,0.0
838218fffffffff,4.0,0.0,0.0
83821bfffffffff,1.0,0.0,0.0
838284fffffffff,2.0,0.0,0.0
838285fffffffff,9.0,0.0,0.0
83828bfffffffff,13.0,0.0,0.0
83828dfffffffff,77.0,42.0,0.0
838290fffffffff,4.0,0.0,0.0
838295fffffffff,2.0,0.0,0.0
8382a1fffffffff,1.0,0.0,0.0
8382a3fffffffff,2.0,0.0,0.0
8382a8fffffffff,2.0,0.0,0.0
8382aafffffffff,5.0,0.0,0.0
8382abfffffffff,4.0,4.0,0.0
8382aefffffffff,2.0,0.0,0.0
8382d0fffffffff,2.0,0.0,0.0
8382d2fffffffff,26.0,14.0,0.0
8382d3fffffffff,38.0,23.0,0.0
8383a8fffffffff,6.0,0.0,0.0
8383acfffffffff,14.0,2.0,0.0
