cell_id,Carpodacus sibiricus,Carpodacus sibiricus [sibiricus Group],Carpodacus sibiricus lepidus/henrici
830a33fffffffff,2.0,0.0,0.0
830a91fffffffff,2.0,0.0,0.0
830bb0fffffffff,16.0,0.0,0.0
830bb1fffffffff,2.0,0.0,0.0
8310c2fffffffff,64.0,0.0,0.0
8310c3fffffffff,8.0,0.0,0.0
8310c6fffffffff,2.0,0.0,0.0
8310dcfffffffff,48.0,0.0,0.0
83148cfffffffff,22.0,0.0,0.0
83149afffffffff,6.0,0.0,0.0
83149efffffffff,14.0,0.0,0.0
8314a8fffffffff,2.0,0.0,0.0
8314aafffffffff,1.0,0.0,0.0
8314aefffffffff,236.0,0.0,0.0
8314d6fffffffff,4.0,0.0,0.0
83158efffffffff,2.0,0.0,0.0
831592fffffffff,2.0,0.0,0.0
831598fffffffff,48.0,1.0,0.0
831599fffffffff,2.0,0.0,0.0
83159bfffffffff,2.0,0.0,0.0
83159cfffffffff,2.0,0.0,0.0
8315b3fffffffff,3.0,0.0,0.0
832018fffffffff,1.0,0.0,0.0
832049fffffffff,3.0,0.0,0.0
83204dfffffffff,6.0,0.0,0.0
832068fffffffff,2.0,0.0,0.0
83206bfffffffff,2.0,0.0,0.0
8320e2fffffffff,1.0,0.0,0.0
8320e6fffffffff,1.0,0.0,0.0
83212cfffffffff,2.0,0.0,0.0
832421fffffffff,1.0,0.0,0.0
832425fffffffff,7.0,0.0,0.0
832460fffffffff,11.0,0.0,0.0
832464fffffffff,9.0,0.0,0.0
832466fffffffff,1.0,0.0,0.0
832475fffffffff,7.0,0.0,0.0
832500fffffffff,2.0,0.0,0.0
832510fffffffff,2.0,0.0,0.0
832512fffffffff,24.0,0.0,0.0
832513fffffffff,2.0,0.0,0.0
832514fffffffff,1.0,0.0,0.0
832516fffffffff,5.0,0.0,0.0
83251efffffffff,1.0,0.0,0.0
832540fffffffff,51.0,0.0,0.0
832541fffffffff,11.0,0.0,0.0
832546fffffffff,14.0,0.0,0.0
832553fffffffff,2.0,0.0,0.0
83255afffffffff,251.0,0.0,0.0
83255bfffffffff,7.0,0.0,0.0
832571fffffffff,2.0,0.0,0.0
8325acfffffffff,32.0,0.0,0.0
8325b4fffffffff,12.0,0.0,0.0
8325b6fffffffff,2.0,0.0,0.0
832c4cfffffffff,5.0,0.0,0.0
832e0cfffffffff,26.0,0.0,0.0
832e0dfffffffff,4.0,0.0,0.0
832e12fffffffff,3.0,0.0,0.0
832e13fffffffff,10.0,0.0,0.0
832e1afffffffff,9.0,0.0,0.0
832e1bfffffffff,18.0,0.0,0.0
832e1efffffffff,14.0,0.0,0.0
832e29fffffffff,3.0,0.0,0.0
832e2bfffffffff,7.0,0.0,0.0
832e44fffffffff,2.0,0.0,0.0
832e60fffffffff,4.0,0.0,0.0
832e61fffffffff,12.0,0.0,0.0
832e63fffffffff,1.0,0.0,0.0
832e64fffffffff,1.0,0.0,0.0
832e68fffffffff,14.0,0.0,0.0
832e69fffffffff,1.0,0.0,0.0
832e6cfffffffff,10.0,0.0,0.0
832e6dfffffffff,2.0,0.0,0.0
832e70fffffffff,1.0,0.0,0.0
832e74fffffffff,18.0,0.0,0.0
832e75fffffffff,81.0,0.0,0.0
832e76fffffffff,7.0,0.0,0.0
832e88fffffffff,32.0,0.0,0.0
832e89fffffffff,6.0,0.0,0.0
832e8afffffffff,6.0,0.0,0.0
832e8cfffffffff,4.0,0.0,0.0
832e99fffffffff,8.0,0.0,0.0
832ea3fffffffff,3.0,0.0,0.0
832ea9fffffffff,10.0,0.0,0.0
832eacfffffffff,27.0,0.0,0.0
832eadfffffffff,44.0,0.0,0.0
832ec1fffffffff,2.0,0.0,0.0
832ec2fffffffff,6.0,0.0,0.0
832ec8fffffffff,3.0,0.0,0.0
832ec9fffffffff,5.0,0.0,0.0
832ecbfffffffff,18.0,0.0,0.0
832ecdfffffffff,6.0,0.0,0.0
832ef4fffffffff,2.0,0.0,0.0
832ef5fffffffff,2.0,0.0,0.0
832ef6fffffffff,13.0,0.0,0.0
832f5afffffffff,35.0,0.0,0.0
832f5bfffffffff,30.0,0.0,0.0
833000fffffffff,3.0,0.0,0.0
833006fffffffff,1.0,0.0,0.0
833019fffffffff,2.0,0.0,0.0
833020fffffffff,1.0,0.0,0.0
833025fffffffff,1.0,0.0,0.0
83302efffffffff,2.0,0.0,0.0
833030fffffffff,2.0,0.0,0.0
8330c0fffffffff,3.0,0.0,0.0
8330c4fffffffff,3.0,0.0,0.0
8330e0fffffffff,30.0,0.0,0.0
8330e1fffffffff,21.0,0.0,0.0
8330e3fffffffff,2.0,0.0,0.0
8330e5fffffffff,18.0,0.0,0.0
8330e8fffffffff,1.0,0.0,0.0
8330ecfffffffff,3.0,0.0,0.0
8330eefffffffff,4.0,0.0,0.0
833112fffffffff,2.0,0.0,0.0
833126fffffffff,13.0,0.0,0.0
833145fffffffff,2.0,0.0,0.0
833150fffffffff,1.0,0.0,0.0
833159fffffffff,4.0,0.0,0.0
83315bfffffffff,11.0,0.0,0.0
83316cfffffffff,70.0,0.0,0.0
83316efffffffff,9.0,0.0,0.0
833181fffffffff,1.0,0.0,0.0
833185fffffffff,93.0,1.0,6.0
833190fffffffff,17.0,0.0,0.0
833191fffffffff,2.0,0.0,0.0
833192fffffffff,1.0,0.0,0.0
833196fffffffff,4.0,0.0,0.0
8331a3fffffffff,1.0,0.0,1.0
834058fffffffff,6.0,0.0,0.0
83405bfffffffff,2.0,0.0,0.0
8340c2fffffffff,7.0,0.0,0.0
8340c4fffffffff,1.0,0.0,1.0
8340c5fffffffff,15.0,0.0,0.0
8340d0fffffffff,2.0,0.0,0.0
8340d1fffffffff,1.0,0.0,0.0
8340defffffffff,4.0,0.0,0.0
8340e8fffffffff,1.0,0.0,1.0
8340ecfffffffff,2.0,0.0,0.0
8340eefffffffff,2.0,0.0,0.0
834b66fffffffff,1.0,0.0,0.0
