cell_id,Caprimulgus poliocephalus,Caprimulgus poliocephalus poliocephalus,Caprimulgus poliocephalus [ruwenzorii Group]
825207fffffffff,5.0,5.0,0.0
825217fffffffff,7.0,6.0,0.0
825237fffffffff,1.0,0.0,0.0
825287fffffffff,9.0,9.0,0.0
825297fffffffff,1.0,1.0,0.0
82529ffffffffff,30.0,30.0,0.0
826a5ffffffffff,1.0,1.0,0.0
826acffffffffff,1.0,0.0,1.0
826adffffffffff,164.0,0.0,158.0
826aeffffffffff,3.0,3.0,0.0
827a47fffffffff,109.0,102.0,0.0
827a4ffffffffff,13.0,10.0,0.0
827a67fffffffff,4.0,4.0,0.0
827a6ffffffffff,246.0,223.0,0.0
827acffffffffff,35.0,31.0,0.0
827aeffffffffff,2.0,2.0,0.0
827b4ffffffffff,7.0,0.0,7.0
828337fffffffff,2.0,0.0,2.0
829697fffffffff,99.0,77.0,20.0
8296a7fffffffff,31.0,0.0,31.0
8296b7fffffffff,27.0,4.0,19.0
82978ffffffffff,4.0,0.0,4.0
